gene	21373_7_39	21373_7_68	21373_7_72	21373_7_104	21373_7_127	21373_7_141	21373_7_156	21373_7_179	21373_7_206	21373_7_229	21373_7_242	21373_7_260	21373_7_283	21373_7_292	21373_7_298	21373_7_306	21373_7_321	21373_7_329	21373_7_348	21373_7_371
ENSMMUG00000031427	21.01	45.01	0	31.01	0	0	75.0599	0	0	0	0	0	0	0	0	1.01	156.01	0	0	0
ENSMMUG00000022833	0	2.25504	0	5.18911	2.96762	0	8.09717	0	1.05155	8.20562	0	2.22702	0	5.17992	3.34266	10.0051	0	0	0	0
ENSMMUG00000019017	0	1.01876	0	6.11944	0	3.10577	50.01	1.02632	1.01706	5.09873	0	1.01969	0	1.02612	0	0	1.02089	1.01878	0	0
ENSMMUG00000001952	0	0	0	33.01	8.01	0	1.01	167.914	0	24.01	27.0592	0	108.01	34.01	23.01	16.02	181.069	319.01	56.02	70.02
ENSMMUG00000001031	20.01	0	0	55.01	60.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000023627	0	0	0	82.01	0	0	0	0	0	0	0	0	0	109.01	42.01	0	0	0	0	69.01
ENSMMUG00000022165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000009280	89.01	21.01	14.01	7.01	36.01	0	62.01	73.01	7.01309	84.01	13.01	10.01	0	28.01	40.01	103.369	30.01	142.01	9.01	17.01
ENSMMUG00000009766	0	0	0	0	0	0	0	0	3.01467	0	1.01471	0	0	0	0	0	5.01947	0	4.11769	0
ENSMMUG00000007178	103.01	0	19.01	41.01	148.01	96.01	30.01	95.01	0	88.01	51.01	10.01	0	98.4918	29.01	118.01	110.42	0	22.01	54.01
ENSMMUG00000015010	113.01	87.2607	139.01	167.01	379.01	447.246	318.293	300.01	493.01	247.01	137.01	133.01	94.1885	119.01	396.01	406.299	339.01	180.01	105.01	268.01
ENSMMUG00000012244	36.02	17.01	2.01	0	0	158.02	10.01	149.01	0	49.01	1.01	1.01	25.01	44.01	23.01	70.01	0	0	15.01	0
ENSMMUG00000002080	0	0	30.02	70.03	0	0	99.02	80.02	0	56.01	2.01	26.02	0	0	22.0265	0	0	0	0	5.05173
ENSMMUG00000029019	7.19656	6.15763	1.01986	3.47132	3.11757	6.14953	0	12.5311	10.5348	12.5664	13.4984	3.04813	4.22102	12.6981	5.23322	10.8601	2.13131	19.9186	11.7572	10.0096
ENSMMUG00000000452	129.635	50.372	67.7057	97.6369	164.171	148.713	165.215	78.9046	97.2898	74.4499	62.6703	28.7258	153.198	134.478	106.304	241.927	189.645	221.519	23.7748	177.355
ENSMMUG00000004480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000015360	73.9232	14.2716	71.7782	763.379	919.923	614.412	1035.92	399.471	12.0261	182.738	183.899	41.8232	147.612	716.438	478.215	163.066	236.817	1494.25	82.3746	242.159
ENSMMUG00000000513	0	0	0	0	0	0	0	13.01	0	0	0	0	0	0	0	0	0	30.0188	0	0
ENSMMUG00000030099	13.585	1.51461	0	27.6067	4.01	0	14.2427	0	25.2868	0	0	8.12147	0	75.9375	11.4469	0	0	61.9074	20.3916	45.8804
ENSMMUG00000020863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000021085	4.01	0	0	0	0	0	9.01	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029800	6.01	0	2.5387	45.01	2.01	6.31967	39.6037	34.3271	0	0	13.01	6.01	2.01	33.7205	0	26.01	6.01	0	18.4946	2.41405
ENSMMUG00000011739	51.01	52.2246	11.01	50.5178	22.01	187.01	41.01	85.01	56.01	65.0627	30.01	38.01	10.01	28.01	206.01	69.01	21.01	66.01	20.01	36.01
ENSMMUG00000000843	0	18.01	1.01	23.01	0	0	45.01	0	0	0	19.01	0	0	0	8.01	114.01	11.01	47.01	28.0182	0
ENSMMUG00000005552	65.01	1.01	21.01	0	64.01	63.01	42.01	17.01	0	203.019	0	17.01	70.01	26.01	139.01	68.01	125.01	7.01	72.01	35.01
ENSMMUG00000007171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000009944	0	0	0	4.01	0	0	0	0	0	0	0	0	0	82.01	0	0	48.01	0	0	0
ENSMMUG00000007728	3.01	0	0	0	0	0	0	0	0	8.01	0	0	0	0	52.01	0	0	0	16.01	0
ENSMMUG00000004326	0	0	6.01	0	0	0	0	0	0	0	0	0	22.01	0	0	0	0	0	0	0
ENSMMUG00000023551	22.01	15.01	13.01	5.01	23.01	67.01	0	29.01	13.01	0	40.01	20.01	0	0	36.01	41.01	0	86.01	0	25.01
ENSMMUG00000017383	1.01	0	0	0	0	0	2.01	4.01	0	21.01	0	0	0	63.01	0	4.01	1.01	0	0	0
ENSMMUG00000004765	0	19.01	6.01	76.01	39.01	0	3.01	0	19.01	0	0	19.01	0	21.01	36.01	18.021	0	0	14.01	0
ENSMMUG00000003740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000022874	0	0	0	0	34.1802	0	0	0	52.3207	34.7038	0	20.9013	0	13.2798	11.01	121.092	44.9132	0	5.01	0
ENSMMUG00000009594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000018258	312.01	134.01	53.01	78.01	217.01	83.0199	144.01	332.01	248.02	104.01	5.01	50.01	85.01	168.01	40.01	139.01	149.01	300.02	40.01	38.01
ENSMMUG00000018470	127.02	12.01	25.01	129.02	216.02	180.01	49.02	46.051	0	46.01	67.02	37.0598	79.01	212.02	53.02	46.02	160.02	185.166	53.02	169.02
ENSMMUG00000017017	55.02	26.01	16.02	0	0	0	1.01	21.01	30.01	0	0	42.02	0	0	58.02	74.02	58.01	0	28.01	0
ENSMMUG00000031969	1.09201	0	0	0	2.07203	0	5.15219	0	0	0	0	0	0	0	5.87606	3.33724	2.05099	1.0126	0	3.84896
ENSMMUG00000000782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01049	0
ENSMMUG00000018874	0	41.01	21.01	66.01	61.01	85.1426	0	0	31.01	91.01	0	0	0	47.01	0	0	78.01	0	1.01	105.01
ENSMMUG00000009350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032539	0	0	4.79397	0	2.01	2.01	0	2.23131	4.10962	3.57535	0	0	1.01	11.0082	0	0	1.0783	1.01	0	0
ENSMMUG00000015962	19.01	16.01	0	0	41.02	88.02	0	5.02	0	0	3.01	7.01	0	0	5.01	0	42.01	44.01	0	6.01
ENSMMUG00000011185	0	0	0	0	0	0	0	0	0	0	0	26.01	0	0	0	0	0	0	0	0
ENSMMUG00000017010	39.01	0	6.01	68.01	47.01	81.01	7.01	91.01	0	1.01	0	16.01	0	0	56.01	7.01	36.01	0	0	3.01
ENSMMUG00000031711	2.87386	0	3.56007	11.2214	14.4965	3.92115	6.87484	9.8714	4.68308	10.4738	9.36446	1.16108	10.141	1.18369	9.25987	22.3264	8.784	8.89657	5.14369	8.25375
ENSMMUG00000006855	93.02	76.0896	42.02	17.01	59.5581	0	151.01	0	75.01	0	0	48.01	0	35.01	89.1443	59.01	3.08473	17.2314	6.01	109.01
ENSMMUG00000006351	0	0	0	0	27.01	0	0	0	0	2.01	0	9.01	0	0	0	0	0	0	0	0
ENSMMUG00000028789	0	0	0	1.18244	0	0	0	1.98061	1.20981	1.0908	1.383	0	0	0	1.63586	1.01	0	0	2.03471	0
ENSMMUG00000003263	51.03	6.01	14.02	87.03	0	105.01	29.02	47.02	7.01	9.01	4.01	6.01	127.043	75.03	22.02	16.01	108.297	0	6.01	39.01
ENSMMUG00000005439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000005011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.01	0
ENSMMUG00000004839	0	0	2.01	0	0	6.01	0	0	0	0	0	0	0	0	0	0	15.01	0	0	0
ENSMMUG00000004767	40.01	63.01	16.01	0	0	103.01	108.01	0	0	33.01	2.01	0	70.01	132.01	0	0	8.01	99.01	0	140.01
ENSMMUG00000030718	8.17296	6.20833	1.02938	4.05085	6.44904	0	3.79343	7.51942	0	3.53181	2.21832	1.53558	0	1.06603	0	0	3.43167	10.7938	3.33033	9.00997
ENSMMUG00000023172	32.01	6.01	10.01	32.02	2.01	72.02	0	27.02	29.01	15.01	0	1.01	135.01	129.555	0	0	42.01	0	0	0
ENSMMUG00000016343	87.01	24.01	47.01	188.01	156.01	338.01	219.01	61.01	201.01	279.01	99.01	74.01	158.01	177.01	245.01	272.01	295.01	167.01	40.01	363.01
ENSMMUG00000013330	0	0	0	9.01	0	0	0	13.01	0	16.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000008182	25.01	0	6.01	77.0639	0	104.01	10.01	59.01	0	19.01	0	14.01	33.01	0	0	0	0	0	5.01	0
ENSMMUG00000021153	0	0	2.01	0	0	0	0	0	0	0	4.01	0	0	0	3.01	0	0	5.50123	0	0
ENSMMUG00000029566	2.01	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	3.25909	2.0507	0
ENSMMUG00000029468	1.21769	1.01	0	3.52618	0	0	0	9.4891	5.13108	4.96423	0	0	4.50797	0	0	1.23826	0	0	0	2.19487
ENSMMUG00000030730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000858	39.0457	5.01	0	13.01	58.0429	0	36.0255	23.0174	14.01	33.01	0	0	100.01	15.021	14.01	4.01	41.01	55.01	16.01	68.01
ENSMMUG00000004669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000014822	9.01	0	0	0	0	0	6.01	0	0	12.01	1.01	0	0	0	19.01	135.01	0	0	0	0
ENSMMUG00000021116	0	0	13.01	0	0	0	46.01	22.01	0	0	0	0	0	0	0	0	0	0	1.01	0
ENSMMUG00000005534	0	98.01	0	0	0	0	0	35.01	55.01	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000556	0	0	0	0	0	0	0	0	0	0	0	3.01	0	0	0	0	0	0	24.01	0
ENSMMUG00000031368	0	0	0	0	0	2.03618	0	1.01997	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000014307	6.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000011378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000012064	40.01	14.01	51.01	106.01	12.01	113.01	34.01	0	45.01	32.01	12.01	74.01	37.01	93.01	21.01	68.01	64.01	49.01	31.01	76.01
ENSMMUG00000005031	0	0	0	0	0	0	0	0	0	0	30.02	0	50.0915	0	0	0	0	0	22.01	0
ENSMMUG00000008761	62.02	0	29.01	85.02	240.019	156.894	93.01	242.401	0	82.02	25.01	0	0	195.978	95.02	244.414	343.02	11.01	36.02	142.02
ENSMMUG00000010665	4.01	0	0	5.01	6.02788	0	0	0	0	39.02	17.01	0	0	10.01	0	0	46.01	19.01	0	47.01
ENSMMUG00000014851	0	0	0	0	0	0	25.01	29.01	0	14.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000016740	22.3183	5.65271	0	0	0	64.5192	56.2788	34.5277	2.14748	15.425	0	0	5.22774	0	0	12.515	1.03065	0	0	0
ENSMMUG00000029578	11.873	0	4.46757	6.76243	2.26597	7.1848	1.13222	9.13049	0	15.8811	1.26653	0	0	4.30488	0	16.0908	0	0	8.60942	4.70361
ENSMMUG00000014878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
