gene	21373_7_39	21373_7_68	21373_7_72	21373_7_104	21373_7_127	21373_7_141	21373_7_156	21373_7_179	21373_7_206	21373_7_229	21373_7_242	21373_7_260	21373_7_283	21373_7_292	21373_7_298	21373_7_306	21373_7_321	21373_7_329	21373_7_348	21373_7_371
ENSMMUG00000031161	0	0	0	0	0	0	0	0	0	45.01	0	0	0	13.01	0	0	0	0	7.01	0
ENSMMUG00000031606	1.10035	2.15294	3.34035	6.57555	1.12228	1.33214	20.615	8.06993	4.20377	5.93696	1.28344	2.68851	3.07988	7.53352	3.74184	2.68622	5.99512	0	3.44961	15.2848
ENSMMUG00000002939	33.01	0	24.01	0	55.01	68.01	100.01	97.01	0	0	15.01	36.01	0	20.01	79.01	122.154	89.01	0	32.01	33.01
ENSMMUG00000032178	0	14.4114	0	14.8288	29.2078	0	4.44703	5.48659	0	27.9022	9.97975	9.0613	2.32434	0	7.46792	37.3202	1.50856	2.38888	57.9482	0
ENSMMUG00000030379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000028680	232.357	142.085	55.01	290.275	241.01	263.489	423.185	338.437	154.938	137.01	148.059	124.164	314.303	300.515	258.279	260.493	191.883	405.626	438.589	231.45
ENSMMUG00000032383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000006202	0	27.01	4.01	15.01	0	0	1.01	30.01	0	0	0	25.01	47.02	68.02	0	0	27.0199	0	60.02	0
ENSMMUG00000017148	19.01	0	42.01	67.01	64.182	0	24.01	0	0	0	0	17.0553	16.01	63.01	0	11.01	0	0	14.01	0
ENSMMUG00000029550	0	0	0	0	1.04667	0	0	0	0	0	1.05364	0	0	0	0	1.04185	0	0	0	1.05339
ENSMMUG00000009155	0	0	3.01	0	4.01	1.01	0	0	0	19.01	0	0	0	0	0	13.01	0	0	0	0
ENSMMUG00000005448	0	0	0	0	24.01	0	35.01	27.01	4.01	0	38.01	20.0389	0	31.01	0	0	6.01	5.01	0	0
ENSMMUG00000009310	0	0	0	1.03667	0	0	0	3.25421	3.02	0	1.01541	0	0	0	0	0	0	1.08706	0	1.14804
ENSMMUG00000009479	44.01	0	26.01	71.01	106.01	20.4418	27.01	50.1389	0	148.01	19.01	44.01	0	0	108.01	93.01	12.01	0	0	129.01
ENSMMUG00000019296	0	1.69711	2.6378	2.04151	0	0	2.37429	10.8312	3.29641	0	3.69286	1.15958	0	1.18778	0	3.31256	9.05856	0	1.91522	0
ENSMMUG00000022507	0	0	0	0	0	0	0	0	0	0	2.01	1.01	0	0	0	0	0	0	0	25.01
ENSMMUG00000014668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.01	0
ENSMMUG00000003522	0	4.94322	0	0	0	0	0	0	2.0617	0	1.06585	0	3.7328	0	7.63955	15.3455	5.29378	17.7849	6.61485	0
ENSMMUG00000028785	59.01	60.01	0	55.01	43.01	196.01	105.01	35.01	32.01	36.01	0	0	0	46.01	15.01	187.01	81.01	112.01	12.01	69.01
ENSMMUG00000000081	3.01	0	5.01	44.01	19.01	0	51.01	0	0	0	0	21.01	0	53.01	0	50.01	0	0	14.01	0
ENSMMUG00000017484	88.1413	11.3139	2.26583	65.6155	63.8785	19.0832	12.6109	8.2675	9.21016	13.1999	24.7799	52.7436	7.95215	30.0784	17.7356	9.54232	121.247	224.194	42.7347	129.321
ENSMMUG00000021788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000330	110.01	0	23.01	175.01	158.01	0	10.01	45.01	0	37.01	39.01	43.01	129.625	33.01	79.01	61.01	5.01	123.01	39.0239	137.061
ENSMMUG00000003130	84.01	43.01	35.01	95.01	76.01	19.01	91.01	50.01	22.01	9.01	42.01	14.01	3.01	74.01	57.01	16.01	162.01	311.036	28.01	17.0154
ENSMMUG00000007744	0	1.14914	0	0	0	1.14538	2.34931	0	0	0	0	0	0	0	0	3.63162	0	0	1.0976	0
ENSMMUG00000015117	265.03	84.02	28.01	191.02	60.02	305.03	213.029	63.01	362.01	180.091	48.02	91.01	156.02	103.02	115.03	113.02	120.01	0	22.01	178.03
ENSMMUG00000008209	13.01	4.01	18.01	19.01	0	81.01	0	0	0	44.01	0	63.01	33.01	58.01	8.01	63.01	0	149.01	0	13.01
ENSMMUG00000023603	17.01	0	7.01	0	3.01	0	3.01	40.01	40.01	37.01	16.01	16.01	0	25.01	42.0534	63.01	51.01	0	11.01	26.01
ENSMMUG00000015404	50.01	2.01	0	58.3231	0	76.01	37.01	30.9765	44.01	43.2241	31.01	6.01	1.01083	21.01	0	67.1634	44.2667	0	39.01	13.0114
ENSMMUG00000031188	3.30355	0	0	9.89218	2.20521	1.15527	5.49968	3.92873	7.64944	15.705	2.08856	7.47576	0	0	4.20091	3.71965	4.65544	0	3.04957	3.7265
ENSMMUG00000006609	0	0	0	11.5408	0	0	6.01	0	18.01	0	0	5.01	0	0	0	1.07126	0	0	12.01	0
ENSMMUG00000010651	137.694	168.829	72.0833	213.728	190.746	205.284	114.61	398.909	315.75	347.715	89.7777	192.692	211.046	172.16	141.646	222.399	288.961	70.1606	102.618	244.179
ENSMMUG00000021556	189.01	91.01	47.01	213.01	278.01	41.01	722.311	191.01	47.01	0	233.854	21.01	498.01	335.01	116.01	186.01	121.085	119.01	200.987	50.01
ENSMMUG00000011091	0	0	0	3.25999	0	0	0	1.10244	0	0	0	0	0	8.01	0	0	40.01	0	0	3.01
ENSMMUG00000023282	0	0	17.01	0	0	0	3.01	0	26.6446	0	0	0	0	0	74.8232	0	0	0	62.9545	0
ENSMMUG00000017453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000008626	0	0	0	0	0	3.01	0	0	0	0	0	1.01	0	0	0	0	2.01	0	0	0
ENSMMUG00000017778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029761	0	2.01	0	0	0	5.49089	0	2.01	0	10.5211	0	4.01	5.5211	12.6585	0	1.53194	12.085	0	13.3335	1.01
ENSMMUG00000001348	5.03363	6.01	10.01	12.0162	0	0	0	21.0185	144.02	0	10.01	22.02	25.01	109.114	5.01	59.02	26.01	0	15.0348	37.02
ERCC-00039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.01	0	0	0	0
ENSMMUG00000005666	0	0	0	0	0	0	0	46.01	0	127.01	0	0	0	0	0	0	0	0	9.01	0
ENSMMUG00000029973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000019156	33.01	65.01	50.01	0	38.02	169.02	0	22.02	79.02	76.02	26.02	27.02	0	0	123.04	162.512	111.01	2.01	0	0
ENSMMUG00000029136	2.08173	0	0	4.05577	0	0	1.64639	0	0	1.81238	2.33513	0	5.45632	0	0	4.93768	0	0	11.909	0
ENSMMUG00000013367	63.0632	2.02253	19.01	70.01	43.0498	81.01	87.1018	130.038	1.02694	77.0953	23.0626	0	120.031	135.114	123.33	47.1447	117.054	52.01	20.834	16.01
ENSMMUG00000000054	93.7735	17.01	18.01	22.01	0	17.01	0	0	11.01	15.01	0	112.291	0	35.01	49.01	53.01	0	0	0	63.01
ENSMMUG00000019838	14.01	0	28.01	36.01	55.01	20.01	9.01	39.01	35.01	24.01	1.01	44.01	0	22.01	83.01	30.01	10.01	213.01	18.01	63.9069
ENSMMUG00000008249	88.02	18.02	1.01	114.02	54.0199	0	94.03	139.134	34.02	29.01	5.01	19.02	31.01	103.02	34.02	78.02	75.03	94.02	2.01	0
ENSMMUG00000005220	0	0	0	40.3333	64.01	101.01	34.0177	52.01	0	0	13.01	2.01	222.255	0	46.01	0	5.58161	124.01	28.01	18.5269
ENSMMUG00000032446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01209	0	0	0	0
ENSMMUG00000008299	9.01	3.01	13.01	14.01	0	0	33.01	45.01	0	0	1.01	0	0	21.6081	0	0	38.01	0	1.01	0
ENSMMUG00000015025	0	0	0	2.01	26.6949	0	6.01	36.01	0	14.5137	5.01	7.21163	0	1.01	0	14.3626	0	13.4818	1.01	16.8478
ENSMMUG00000017761	2.01	12.01	0	13.01	2.01	102.01	0	7.01	7.01	0	0	0	70.01	0	0	0	0	0	22.01	35.01
ENSMMUG00000013882	0	0	3.01	0	0	0	2.01	0	0	0	0	0	0	3.01	0	0	0	0	0	4.01
ENSMMUG00000000203	0	0	0	17.01	0	0	0	6.01	0	0	0	0	54.0209	0	0	0	0	0	0	0
ENSMMUG00000019981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000001983	370.799	133.017	102.182	507.853	333.805	508.414	546.208	462.428	156.758	363.033	170.642	51.8908	748.454	748.503	470.89	294.714	460.004	938.782	64.9704	115.038
ENSMMUG00000023691	30.01	40.01	29.01	57.01	38.01	54.01	46.01	76.01	169.01	88.01	38.01	121.01	59.01	0	122.705	53.01	0	0	7.01	47.01
ENSMMUG00000012147	13.01	14.01	0	0	0	0	7.01	0	0	0	0	13.499	0	0	0	18.01	5.01	5.01	0	0
ENSMMUG00000018763	0	0	4.01	0	6.01	0	0	10.01	0	0	0	3.01	0	0	0	0	20.01	0	0	0
ENSMMUG00000029248	0	0	0	0	2.7038	0	0	0	2.06514	0	0	0	0	0	0	0	0	0	2.30702	0
ENSMMUG00000018151	0	0	0	0	9.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0
ENSMMUG00000020859	0	0	0	48.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000019755	0	0	0	0	0	0	0	0	53.01	0	16.01	0	0	0	0	0	0	0	0	0
ENSMMUG00000012576	66.01	16.01	14.01	91.01	48.01	162.01	116.01	52.01	72.01	17.01	33.01	60.01	116.559	66.01	33.01	131.01	156.01	58.0426	53.01	51.01
ENSMMUG00000021080	10.01	23.01	7.01	1.01	15.01	0	65.01	12.01	142.01	0	34.01	48.01	0	23.01	50.01	19.01	88.01	0	8.01	30.01
ENSMMUG00000011511	120.818	47.4688	35.7808	172.705	72.2856	161.37	152.649	177.122	118.389	169.371	34.3064	81.788	239.754	259.161	190.918	225.584	271.672	254.349	40.0469	237.835
ENSMMUG00000003128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000004797	14.01	0	9.01	0	0	0	0	1.01	50.0898	65.01	0	24.01	49.8266	0	0	0	73.02	0	0	1.01
ENSMMUG00000017102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017063	105.01	0	68.01	125.537	0	156.01	76.01	85.01	320.01	105.01	17.01	74.01	187.01	38.01	200.01	13.01	71.01	0	36.01	68.01
ENSMMUG00000032201	0	0	0	0	0	0	0	0	0	10.7831	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000010838	35.01	0	21.01	0	12.01	0	0	0	0	0	0	6.01	0	0	42.01	0	89.01	208.02	0	0
ENSMMUG00000020021	0	0	0	46.01	0	0	0	0	0	0	21.01	0	0	0	0	0	0	0	0	13.01
ENSMMUG00000014069	132.01	29.01	43.01	270.238	118.01	42.01	126.01	165.01	68.01	24.01	42.01	52.01	115.01	58.01	198.01	193.004	244.01	45.01	46.01	218.01
ENSMMUG00000001343	0	0	9.01	111.01	60.01	0	75.01	10.01	6.01	60.01	0	0	6.0482	0	99.01	20.01	17.01	117.081	1.01	0
ENSMMUG00000015876	313.904	150.01	213.01	387.745	403.002	253.415	317.294	254.307	215.843	711.806	171.989	172.299	425.767	630.809	572.147	613.659	414.388	619.534	139.734	385.716
ENSMMUG00000019223	33.4191	0	34.01	37.01	1.01	185.01	142.9	23.01	285.742	4.87259	111.01	31.6021	0	26.01	18.7459	233.01	55.01	164.01	20.4531	51.6606
ENSMMUG00000031154	17.3136	1.33639	0	0	11.5595	9.51874	3.4556	31.8539	2.92408	2.94916	0	3.6704	6.67208	0	12.832	0	9.51617	18.6433	7.75058	3.17044
ENSMMUG00000023181	16.02	15.01	8.01	14.01	36.01	18.02	108.03	62.01	3.01	63.02	18.02	3.01	80.02	5.01	48.0299	26.01	68.02	0	25.02	47.01
ENSMMUG00000021772	34.02	67.03	2.01	17.01	1.01	5.01	24.01	138.03	0	91.04	5.01	10.01	0	0	31.01	23.02	84.02	0	2.02	15.02
ENSMMUG00000007183	256.01	182.01	40.01	286.01	267.01	194.02	188.01	435.01	476.02	752.02	49.02	384.02	478.01	102.02	324.01	162.049	528.01	667.601	106.02	313.02
ENSMMUG00000002519	35.01	0	9.01	0	0	0	0	0	0	5.01	9.01	8.01	0	0	0	73.01	0	0	0	0
ENSMMUG00000031452	0	0	0	56.01	0	0	0	0	0	6.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032387	2.02444	0	0	0	2.47227	1.01427	0	3.57932	0	6.33635	1.01757	0	1.0153	0	0	0	0	0	1.0161	0
ENSMMUG00000020301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003997	0	0	10.01	0	0	0	82.01	0	0	0	0	32.01	87.01	29.01	65.02	0	0	0	12.01	0
ENSMMUG00000009432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017294	101.228	147.01	38.01	135.01	82.01	105.01	67.01	163.01	69.1573	187.01	0	96.1145	0	50.01	150.01	165.01	87.1215	0	32.01	160.01
ENSMMUG00000017654	12.02	21.01	0	0	25.01	67.1354	43.02	32.01	0	14.01	0	5.01	0	38.02	16.01	34.3772	0	5.01	4.02	90.02
ENSMMUG00000017300	22.068	1.01	4.01	92.01	63.01	80.12	90.01	84.01	17.01	52.01	22.01	17.01	60.01	74.01	110.01	82.01	124.01	20.01	32.01	74.01
ENSMMUG00000010139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000006525	118.861	107.294	69.01	293.185	165.373	196.571	210.175	249.818	220.185	82.2788	63.556	26.2292	138.021	188.642	219.665	131.839	130.533	128.842	72.1706	96.3624
ENSMMUG00000015737	13.01	0	0	32.01	0	4.01	0	30.01	12.01	0	0	0	0	0	11.5512	0	34.01	0	0	0
ENSMMUG00000009997	0	0	0	39.01	0	107.02	0	0	0	0	0	0	0	0	0	0	0	118.03	13.01	0
ENSMMUG00000028830	0	0	0	0	0	0	0	0	0	0	2.01	0	0	0	0	0	0	0	0	0
ENSMMUG00000017141	43.01	125.01	44.01	295.181	186.286	203.01	186.02	227.361	173.01	188.02	15.01	123.899	206.928	474.02	140.02	386.02	235.166	195.02	71.02	292.02
ENSMMUG00000030134	0	0	1.28116	1.11392	0	0	0	0	0	0	0	0	1.13487	0	0	0	0	1.17294	2.41087	0
ENSMMUG00000008792	42.02	34.01	0	0	0	150.02	35.01	0	48.01	65.02	0	0	0	78.02	0	14.01	63.02	4.01	10.01	4.01
ENSMMUG00000002293	0	0	0	25.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000019288	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0
ENSMMUG00000003873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000013407	0	0	1.01	199.01	115.01	0	0	10.01	50.01	59.01	0	17.01	225.01	82.01	74.01	53.01	93.01	3.01777	41.01	136.01
ENSMMUG00000012953	597.397	37.01	111.01	957.929	374.36	698.01	784.14	621.541	281.01	399.01	177.01	256.01	591.193	1068.49	430.248	224.01	564.01	796.516	181.01	698.288
ENSMMUG00000011687	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000002985	5.01	46.01	21.01	2.01	0	0	33.01	0	0	83.01	0	76.01	108.01	0	46.01	255.01	133.01	0	34.01	45.01
ENSMMUG00000003979	0	0	0	0	19.01	0	0	0	0	13.01	0	0	0	0	0	0	0	0	0	24.01
ENSMMUG00000001439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000018657	0	0	0	0	0	0	0	18.01	52.01	0	0	1.01	0	0	0	0	0	0	1.01	0
ENSMMUG00000008051	4.01	6.01	0	3.22943	1.01	1.01	12.2485	20.01	10.9871	2.01	2.01	0	3.01	4.22914	4.47597	2.32849	0	3.01	15.6015	4.01
ENSMMUG00000029087	48.0605	51.0441	21.3139	60.7443	75.6129	121.118	43.9621	95.2405	62.1787	90.6364	54.3633	39.1202	179.198	75.0018	81.7153	158.19	127.653	189.291	35.6277	91.8207
ENSMMUG00000029415	0	0	0	0	0	0	1.1212	0	0	1.12441	0	0	0	0	0	1.12045	0	0	0	0
ENSMMUG00000004630	114.02	0	23.02	20.02	65.02	64.02	0	39.02	0	0	21.02	0	88.8454	30.02	28.02	40.02	46.02	0	0	31.1063
ENSMMUG00000000961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003745	154.763	38.01	29.02	22.01	97.3803	88.01	88.03	91.1997	76.4826	226.143	86.01	20.02	116.055	98.02	30.01	124.048	147.085	319.117	33.02	256.433
ENSMMUG00000031412	2.20132	1.07358	0	1.11337	2.23463	0	0	0	1.08466	1.09262	0	0	0	1.08958	0	4.43703	1.09514	3.40508	0	1.07751
ENSMMUG00000017983	0	0	0	0	13.01	0	28.1747	0	44.01	0	2.01	0	119.01	34.01	0	43.01	0	0	2.01	0
ENSMMUG00000022524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031495	21.01	50.01	0	0	6.01	0	41.01	84.01	0	46.01	0	8.01	0	17.01	18.01	0	51.3502	56.01	0	0
ENSMMUG00000016892	2.01	1.01	0	3.01	0	0	2.01	21.01	24.01	29.01	0	0	0	0	2.01	0	0	0	0	9.01
ENSMMUG00000030444	1.01	0	0	14.4399	3.30218	0	2.10128	1.03139	0	1.06667	1.01357	2.0631	1.08989	0	2.09676	4.04433	1.0685	1.0222	0	1.03706
ENSMMUG00000004928	66.02	4.01	12.01	13.01	16.01	133.02	12.0201	37.01	53.01	12.0339	12.01	0	112.077	15.01	4.01	9.02	13.01	2.01	5.01	31.01
ENSMMUG00000016015	0	0	15.3383	0	0	58.01	61.5876	36.7804	0	9.45172	5.01	0	43.01	8.25141	35.4195	36.01	0	0	4.59175	50.01
ENSMMUG00000005397	44.02	0	1.01	35.02	20.01	80.01	19.01	24.0649	0	0	27.1656	63.02	41.163	0	53.01	0	0	0	1.01	0
ENSMMUG00000029018	0	0	0	18.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.01	0
ENSMMUG00000010836	33.01	0	0	0	0	73.01	21.01	0	111.01	0	13.01	27.01	0	105.01	38.01	0	60.01	0	5.01	0
ENSMMUG00000001795	265.252	90.01	70.01	99.01	295.015	646.02	179.01	127.01	224.01	125.02	133.019	123.02	171.01	490.01	122.01	796.283	111.028	351.01	27.01	307.021
ENSMMUG00000003821	0	3.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01	46.01
ENSMMUG00000001561	116.01	117.01	81.01	126.01	47.01	233.01	123.03	101.01	137.253	120.191	32.01	159.01	153.131	225.01	214.28	102.01	198.432	37.0427	59.3295	144.311
ENSMMUG00000003711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.01	0
ENSMMUG00000022203	0	10.01	0	0	0	91.01	0	86.01	77.01	138.01	0	59.01	18.0219	0	56.01	0	115.01	0	16.01	0
ENSMMUG00000029375	1.01242	1.01096	3.02333	2.01787	2.01518	6.02991	4.01922	1.01214	1.01133	1.01253	2.02164	2.01354	2.01445	2.01535	1.01208	1.01183	2.03326	5.02628	1.01138	1.01285
ENSMMUG00000005343	11.6185	1.15939	6.60557	0	0	0	2.34635	9.5978	4.22904	16.006	0	0	0	0	1.01	7.72756	1.18514	6.47752	1.05089	4.01
ENSMMUG00000009375	0	0	1.01	0	0	1.01	1.01	0	20.01	0	0	0	0	0	0	2.01	16.01	0	0	48.01
ENSMMUG00000019876	333.02	0	135.02	73.02	29.02	0	468.03	507.689	0	65.02	0	15.01	16.02	101.02	632.02	779.03	756.02	321.02	2.01	42.02
ENSMMUG00000019201	0	0	0	0	0	0	2.01	0	0	0	1.01	0	0	0	0	0	0	6.17786	0	0
ENSMMUG00000011126	545.345	708.01	327.02	745.149	755.694	1189.27	570.02	996.412	1100.82	1024.75	380.02	759.264	1504.32	1432.73	1065.3	2016.58	1355.17	1834.59	432.019	1052.02
ENSMMUG00000011528	49.01	0	14.01	59.01	4.01	0	0	93.01	0	0	15.01	46.01	0	26.01	0	111.01	1.01	170.128	49.01	0
ENSMMUG00000008039	6.01	0	0	0	0	0	39.01	0	35.01	85.01	0	11.01	0	0	19.01	21.01	79.01	0	0	16.01
ENSMMUG00000007706	28.5292	10.0063	2.08484	29.4583	62.691	3.25985	18.3274	21.8514	4.81651	26.8866	19.0734	2.03464	52.0858	30.056	55.9442	26.0914	21.1362	25.3018	14.5807	67.3982
ENSMMUG00000021447	10.189	67.01	0	0	8.18472	0	9.10463	10.1222	0	4.01547	8.90172	0	8.02272	1.01	0	7.01283	64.4059	7.03254	3.10143	1.02296
ENSMMUG00000007428	154.02	476.02	63.01	82.02	190.02	138.02	536.019	638.02	125.02	166.02	214.02	273.02	104.02	0	407.02	88.02	54.02	417.02	517.02	162.02
ENSMMUG00000001330	176.01	30.01	37.01	239.01	0	129.01	66.01	76.01	89.01	186.01	74.01	23.01	88.01	67.01	143.01	440.01	175.01	0	56.01	197.01
ENSMMUG00000012442	1.01	0	7.01	0	0	94.01	0	4.01	0	0	0	0	0	13.01	0	0	0	0	10.013	0
ENSMMUG00000009856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000001026	44.01	153.01	91.01	247.01	187.01	626.01	183.01	84.01	0	22.01	79.01	74.01	34.01	229.01	140.01	193.118	92.0845	110.01	2.01	139.01
ENSMMUG00000006543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.01	0
ENSMMUG00000015659	148.588	4.01	18.1463	136.888	10.0423	170.836	171.01	95.5801	101.828	146.213	3.01	48.01	152.84	121.787	88.2018	55.5663	27.9044	344.729	24.586	156.01
ENSMMUG00000008242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000001116	34.0698	7.67386	11.7136	1.46029	10.9137	0	67.4827	5.21843	0	24.5546	21.5678	0	47.3563	6.97676	14.0056	4.09023	1.24061	2.40837	33.0556	24.3145
ENSMMUG00000012390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000010813	96.3606	90.01	56.15	231.01	108.01	556.507	230.01	2.03397	65.4507	361.481	71.1002	77.033	231.82	53.0671	82.1011	234.374	360.306	158.129	28.1149	153.021
ENSMMUG00000009182	28.02	0	8.01	169.01	109.01	0	93.02	5.01	0	133.02	29.02	0	178.02	99.02	0	20.01	0	162.021	1.01	71.02
ENSMMUG00000022091	87.02	0	20.01	81.02	101.02	36.01	67.02	77.01	0	26.01	13.01	63.02	7.01	177.02	87.02	162.02	108.02	152.02	4.01	55.01
ENSMMUG00000014812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01	0	0	0
ENSMMUG00000016158	1.18034	0	1.18491	3.5618	3.3482	0	5.05182	0	0	0	0	1.14388	2.85948	0	5.82573	11.2255	0	8.77026	7.35859	1.12054
ENSMMUG00000001213	0	0	0	0	0	0	0	1.01	0	14.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000005227	1.01	0	0	0	0	0	10.1866	20.673	52.01	4.37475	0	19.4299	64.01	1.01	56.9143	27.01	0	0	0	0
ENSMMUG00000009396	337.01	9.01	48.02	686.67	243.586	419.01	290.01	140.027	314.238	310.197	136.01	101.01	288.866	249.01	209.137	307.01	411.01	235.01	73.01	253.01
ENSMMUG00000010293	0	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	8.01	0	0	0	0
ENSMMUG00000031622	0	3.18355	2.50581	1.54418	0	0	4.04814	0	0	0	4.7608	0	3.99916	0	10.0804	0	0	1.21113	0	0
ENSMMUG00000023714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000015215	0	0	0	0	0	0	0	0	0	0	0	46.01	0	0	0	80.01	0	57.01	16.01	0
ENSMMUG00000016062	16.4624	4.62125	17.8974	50.8608	15.2455	29.3785	39.5638	65.9357	10.7334	15.745	20.0234	10.6052	27.4831	31.2396	1.24825	60.9776	18.3178	46.328	116.914	12.136
ENSMMUG00000006362	177.01	229.01	82.01	441.087	275.01	161.02	124.01	228.241	87.01	103.01	67.02	152.01	214.024	130.03	65.01	201.01	254.02	27.01	117.01	111.01
ENSMMUG00000021126	0	0	0	0	0	0	0	0	0	0	0	7.01	0	0	0	0	0	0	0	0
ENSMMUG00000005323	30.01	0	3.01	0	29.01	89.01	4.01	16.01	15.01	0	0	25.01	53.01	32.01	66.01	0	0	0	10.01	29.01
ENSMMUG00000007076	43.1957	11.8803	10.6187	73.0903	68.3584	78.4442	87.477	75.0049	54.1977	96.4849	42.2002	22.2948	72.3243	114.823	114.947	88.3054	98.3585	138.268	23.8777	100.114
ENSMMUG00000021956	0	0	3.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000011880	0	0	0	0	0	3.01	0	0	0	8.63938	0	0	0	0	0	12.3667	7.09667	49.8587	1.63323	0
ENSMMUG00000015582	0	0	0	0	0	0	50.01	0	14.01	0	0	21.01	31.01	8.01	2.01	0	5.01	85.01	12.01	0
ENSMMUG00000018990	17.01	10.01	0	0	15.01	0	2.01	13.01	0	0	0	2.01	0	0	0	0	23.01	0	0	0
ENSMMUG00000023025	0	0	0	0	0	0	0	10.01	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000030714	69.2463	2.7211	11.6774	31.3402	21.4204	45.5489	26.846	176.059	6.498	91.1494	15.7654	4.01	4.95831	98.7883	140.361	188.312	137.351	61.7576	8.73505	14.0919
ENSMMUG00000020048	12.02	0	7.01	6.01	0	0	22.01	0	0	74.01	0	0	49.01	0	0	0	10.01	132.02	1.01	24.01
ENSMMUG00000029574	1.03768	0	0	0	0	1.02403	0	0	0	0	1.05358	0	0	0	0	0	0	0	0	2.05761
ENSMMUG00000010674	1.01	18.01	0	1.01	12.01	0	4.01	0	59.01	0	0	7.01	4.01	0	65.01	0	0	0	13.01	29.5058
ENSMMUG00000007764	13.01	24.02	8.01	0	11.01	61.01	9.02	55.01	18.02	27.01	16.02	30.01	33.0585	26.01	8.01	0	24.01	0	6.01	35.01
ENSMMUG00000003731	0	0	0	0	0	3.01	1.2807	0	0	0	0	0	0	0	0	0	1.2852	0	0	0
ENSMMUG00000018741	8.02	50.02	3.01	26.02	40.0409	0	41.03	0	0	6.01	0	0	0	0	0	1.01008	23.01	0	0	62.02
ENSMMUG00000003152	183.02	323.02	50.02	552.757	503.02	309.078	391.065	164.824	335.03	146.02	10.01	273.209	269.02	34.02	332.02	120.01	566.755	698.02	155.238	436.639
ENSMMUG00000023591	0	0	0	35.02	22.01	0	28.02	1.01	0	0	3.01493	0	0	8.01	22.01	0	0	76.02	0	31.02
ENSMMUG00000004742	0	0	0	3.01	0	0	2.01	1.01	0	0	0	0	0	0	0	30.01	2.01	0	0	24.9805
