gene	21373_7_20	21373_7_37	21373_7_60	21373_7_102	21373_7_106	21373_7_139	21373_7_152	21373_7_160	21373_7_166	21373_7_169	21373_7_175	21373_7_183	21373_7_202	21373_7_204	21373_7_216	21373_7_221	21373_7_225	21373_7_239	21373_7_254	21373_7_262	21373_7_271	21373_7_279	21373_7_304	21373_7_317	21373_7_327	21373_7_340	21373_7_346	21373_7_354	21373_7_358	21373_7_369	21373_7_377	21373_7_381
ENSMMUG00000031161	0	30.01	0	0	0	0	0	20.01	0	7.01	0	80.01	0	0	15.01	0	9.01	0	52.01	22.01	0	0	0	0	7.01	26.01	19.01	23.01	0	0	0	1.01
ENSMMUG00000031606	2.24663	3.62101	1.25173	7.5774	0	1.07884	0	5.83952	13.3023	0	3.55324	14.4324	9.53775	2.87348	2.4129	2.68269	10.9643	6.82286	18.8983	8.43245	1.28149	14.5526	28.6195	8.91757	21.1758	0	6.19923	6.29008	13.6558	8.13647	1.18718	1.67992
ENSMMUG00000002939	0	36.01	3.01	136.153	0	34.01	39.01	14.01	0	12.01	30.01	0	39.01	43.01	3.01	25.01	34.4064	0	171.247	80.01	16.0397	1.01	104.01	0	0	0	1.01	105.01	98.01	16.01	33.01	0
ENSMMUG00000032178	0	9.02439	1.38594	14.3422	32.0246	0	9.52093	33.776	85.2009	1.66021	0	43.8927	16.9714	0	3.47087	15.3316	85.6716	0	0	7.19741	188.653	0	0	0	40.8088	6.79465	11.2595	44.5097	3.60911	27.2818	7.73609	0
ENSMMUG00000030379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000028680	54.01	233.359	152.747	759.036	1079.62	327.005	315.01	241.521	873.172	125.878	297.496	137.461	161.782	306.025	120.01	287.829	1143.95	413.042	195.183	213.633	846.342	279.92	661.606	379.49	626.47	287.369	263.149	182.085	322.253	283.01	90.1213	91.01
ENSMMUG00000032383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000006202	0	0	37.02	0	0	133.85	0	0	0	5.02	0	75.01	0	47.02	9.02	52.02	0	0	106.467	0	0	0	0	0	19.02	5.02	2.01	0	0	0	0	0
ENSMMUG00000017148	0	0	18.01	0	0	10.01	58.01	0	0	5.01	0	168.01	18.01	28.01	0	0	0	0	0	0	0	0	19.01	0	41.01	21.01	39.01	0	0	0	0	0
ENSMMUG00000029550	0	1.03117	0	0	0	0	0	0	0	1.06084	0	1.04352	0	1.03288	0	0	0	0	1.04099	0	0	0	0	0	0	0	27.716	0	0	0	0	1.06069
ENSMMUG00000009155	13.01	0	0	0	0	0	0	0	9.01	0	0	0	0	9.01	0	0	0	0	0	24.01	0	0	0	0	0	0	42.01	0	0	0	0	0
ENSMMUG00000005448	3.01	53.01	113.01	0	0	0	0	3.01	0	0	18.0252	35.01	30.01	0	0	2.01	0	0	21.01	0	0	0	19.01	0	45.02	0	3.01	12.01	0	0	0	0
ENSMMUG00000009310	0	1.03158	0	0	0	0	1.08668	2.1048	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01127	2.26139	0	0	0	0
ENSMMUG00000009479	51.01	124.776	97.01	11.01	7.56893	157.01	20.01	63.3	0	23.01	185.01	0	0	0	28.01	0	1.01	142.01	96.01	0	0	15.01	115.01	0	182.706	0	0	66.01	0	0	22.01	35.01
ENSMMUG00000019296	1.26754	1.20996	0	1.98953	14.515	1.80772	13.6465	8.12375	43.8516	0	1.16274	6.51703	1.05699	3.92012	0	0	40.7978	4.04608	15.6643	0	0	10.5692	8.2611	0	8.66766	14.0078	13.1856	20.5884	5.01372	0	0	0
ENSMMUG00000022507	0	19.01	0	0	0	2.01	0	0	0	3.01	22.01	0	0	0	0	3.01	0	0	0	0	0	0	0	42.2139	0	0	4.01	0	28.01	0	0	0
ENSMMUG00000014668	0	0	0	0	0	0	0	25.01	0	0	4.09214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003522	4.63772	0	2.41819	0	0	1.07101	1.91174	2.03639	2.25234	1.16071	0	0	0	2.7833	3.53781	0	11.0684	21.4791	7.56775	0	0	4.58584	5.32382	0	0	3.46269	0	0	5.22968	3.55533	0	0
ENSMMUG00000028785	5.01	69.01	107.01	107.01	0	23.01	15.01	24.01	0	13.01	0	0	34.01	100.01	17.01	173.01	144.01	156.01	193.01	49.01	9.01	272.01	0	0	0	23.01	103.01	109.01	0	0	0	0
ENSMMUG00000000081	4.01	0	32.01	1.01	1.01	0	101.01	17.01	0	7.01	0	65.01	0	37.01	0	0	0	0	0	29.01	1.01	0	0	0	0	29.01	2.01	0	0	67.1274	1.01	8.01
ENSMMUG00000017484	25.2937	31.3505	8.75224	106.208	24.9469	7.75096	138.466	41.1442	38.0219	34.8549	210.049	72.1969	91.81	60.0494	33.3492	13.921	14.0794	34.1426	73.9376	74.4344	52.2048	356.291	44.5628	2.27067	8.97855	46.8988	47.0243	33.5263	182.849	6.17573	15.3782	36.9426
ENSMMUG00000021788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.01	0	0	0	0	0	41.01	0	0	0	0	0	0	0	0
ENSMMUG00000000330	42.01	1.01	56.01	0	0	188.01	49.01	14.01	0	40.01	97.01	0	69.0106	159.01	96.01	104.01	2.01	327.056	20.01	51.01	79.01	86.01	74.0521	0	236.032	0	84.01	1.01	79.01	143.01	23.01	29.01
ENSMMUG00000003130	38.01	77.01	32.01	77.01	0	253.122	87.01	110.01	0	25.01	179.01	0	40.01	157.01	12.01	49.01	110.01	329.01	40.01	118.01	14.01	2.01	93.01	0	135.285	85.01	106.026	50.01	151.01	0	31.01	4.01
ENSMMUG00000007744	0	2.36844	1.13873	0	0	0	0	0	0	0	2.36687	0	0	0	1.19868	0	1.06752	1.14643	0	0	0	0	0	0	1.13868	0	0	1.12588	0	2.39231	0	0
ENSMMUG00000015117	7.01	98.02	278.02	88.02	0	40.01	311.019	118.02	0	85.01	176.02	0	132.02	305.03	9.01	30.01	40.01	139.02	308.02	85.03	3.01	264.03	33.01	26.5556	146.01	0	214.02	102.02	222.698	318.03	6.01	34.02
ENSMMUG00000008209	10.01	0	108.01	0	0	44.01	46.01	35.01	0	15.01	36.01	80.01	12.01	0	6.01	0	0	190.01	18.01	0	0	0	41.01	0	35.01	0	22.01	0	0	90.01	12.01	10.01
ENSMMUG00000023603	5.01	38.01	67.01	0	0	112.01	0	76.01	0	11.01	44.01	102.057	41.01	42.01	13.01	102.01	0	0	43.01	29.01	1.01	4.01	53.0284	54.01	35.041	0	34.01	48.01	0	0	19.01	0
ENSMMUG00000015404	1.01	21.01	95.9758	0	0	37.1645	10.01	69.01	0	5.01	28.01	0	31.2	28.01	27.01	10.01	4.01	0	47.01	30.01	0	53.01	32.01	0	76.1748	40.01	27.01	0	39.01	120.01	13.01	0
ENSMMUG00000031188	0	5.14252	12.3564	4.38139	8.23652	2.20478	13.8387	0	12.7369	1.12898	1.17801	37.4807	3.00739	3.20915	0	4.92732	29.0517	0	8.87767	6.50841	12.6931	5.28496	7.7574	10.2474	17.9822	4.00105	14.6241	10.0576	18.5291	1.4119	0	1.06931
ENSMMUG00000006609	0	0	0	0	0	0	7.59537	2.82515	0	2.01	0	26.01	3.01	86.01	1.01	0	0	0	0	4.20972	0	10.9617	0	0	0	0	25.01	0	0	0	0	0
ENSMMUG00000010651	90.987	383.885	365.014	145.449	22.9142	293.487	173.04	150.619	1.01	122.264	124.253	106.127	205.441	293.139	83.2618	193.207	53.9468	173.005	205.869	121.661	25.0502	348.616	414.27	159.698	204.307	11.5617	416.866	502.31	143.743	404.282	86.9345	51.1461
ENSMMUG00000021556	90.01	130.01	362.278	43.01	86.01	185.01	53.01	69.01	4.01	42.01	159.893	294.11	231.01	341.01	68.01	182.01	22.01	0	160.01	0	80.0365	172.01	105.01	186.01	157.063	55.01	107.01	345.01	33.01	297.217	26.01	79.01
ENSMMUG00000011091	0	0	0	10.3193	0	0	0	2.27478	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	36.01	0	0	4.01	0	0	0	0	0
ENSMMUG00000023282	12.8838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.804	0	0	0	0	1.01	0	0	0	0	0
ENSMMUG00000017453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000008626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.01	2.55258	0	1.01	0	0	0	1.33216	0	0	0	0	0	0	1.10382	0	0
ENSMMUG00000017778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029761	1.01	0	8.01	1.37508	0	22.5632	0	0	0	2.17659	8.48932	0	0	11.01	0	4.01	0	4.39845	8.01	0	0	0	11.7172	7.01	0	1.01	2.11408	0	0	0	0	0
ENSMMUG00000001348	4.01	0	6.01	52.02	31.01	0	0	0	0	5.01	5.0198	0	0	2.01	0	31.01	49.01	0	66.0953	34.2228	0	0	78.02	0	0	39.01	51.02	0	0	21.01	4.01	0
ERCC-00039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000005666	0	0	0	0	0	0	0	0	0	0	5.01	0	13.01	0	0	0	0	0	14.01	0	200.01	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029973	1.0329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000019156	29.02	0	281.03	0	94.1666	9.01	214.04	52.02	0	19.01	40.04	146.01	35.01	53.01	29.02	27.01	5.01	0	376.092	0	26.01	72.8182	241.04	90.02	206.04	11.01	29.03	162.226	0	0	20.01	0
ENSMMUG00000029136	0	3.07363	1.27439	1.31916	0	0	1.38221	3.09168	6.67244	3.64882	0	0	0	1.45471	3.83107	0	0	0	2.34339	0	45.2635	5.93282	1.4486	12.7294	0	2.6516	1.49916	2.08146	1.22704	1.26833	0	0
ENSMMUG00000013367	34.01	45.01	77.8258	8.59096	2.02279	37.2814	51.4942	4.52949	25.4931	19.01	69.1175	4.06312	6.24822	93.2419	13.0227	80.1115	5.24928	43.01	88.8673	0	34.5606	65.0701	29.0718	1.01964	89.3544	22.2203	72.0665	59.185	32.1717	46.1784	5.03769	3.01
ENSMMUG00000000054	11.01	0	5.01	0	0	26.01	0	52.01	0	12.01	62.01	0	22.01	29.01	0	0	0	8.01	0	210.01	4.01	34.01	15.1217	53.01	65.0333	0	36.01	93.01	0	0	8.01	8.01
ENSMMUG00000019838	5.01	0	57.01	84.01	13.01	28.01	276.01	0	0	13.01	44.01	0	6.01	17.01	3.01	4.01	0	0	149.01	79.01	225.01	61.01	82.5103	0	64.01	0	29.01	2.01	73.01	74.01	0	0
ENSMMUG00000008249	28.02	65.03	0	0	145.03	94.02	0	46.03	0	5.02	13.01	0	32.02	61.03	24.02	6.02	2.01	12.01	0	34.02	0	171.02	53.0299	221.351	5.01	0	57.02	65.02	0	27.01	24.01	16.01
ENSMMUG00000005220	4.01	0	232.02	47.01	0	84.28	0	30.01	0	3.01	0	12.01	34.01	0	17.01	0	8.01145	165.01	72.01	39.01	0	0	15.01	0	0	81.01	1.01	0	110.073	0	24.6609	16.2092
ENSMMUG00000032446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01414	0	0	0	0	0	0	0	1.01	0	0
ENSMMUG00000008299	0	14.01	55.01	8.01	0	6.01	19.01	27.01	0	0	0	0	0	0	0	0	0	57.01	0	26.01	0	0	0	0	87.01	0	15.01	0	0	0	1.01	0
ENSMMUG00000015025	0	0	20.1632	0	0	0	0	4.01	0	4.01	6.01	16.568	3.33906	19.01	0	13.01	0	0	0	0	3.01	0	25.9839	1.01	49.7163	0	1.01	0	2.01	7.01	0	1.01
ENSMMUG00000017761	5.01	0	79.01	56.01	0	0	0	37.01	0	0	43.01	0	6.01	0	0	0	0	74.01	0	0	0	0	0	0	46.01	0	2.01	0	1.01	0	0	0
ENSMMUG00000013882	0	0	68.0196	0	0	0	0	0	0	0	6.01	0	0	0	0	1.01	11.013	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01	0
ENSMMUG00000000203	3.01	0	0	0	0	19.01	15.01	52.01	0	2.01	7.01	0	20.02	0	14.01	26.01	0	11.02	0	0	0	65.4959	0	5.01	0	0	1.01	0	0	21.01	0	0
ENSMMUG00000019981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.01	0	0	0	0	0	0	0	0	0
ENSMMUG00000001983	162.89	210.752	335.088	372.195	4.49259	234.26	530.152	543.656	3.49231	79.0997	516.691	153.056	352.478	330.197	160.948	360.496	3.68039	859.915	245.215	355.719	186.304	309.824	139.989	231.732	232.229	282.063	555.106	181.921	762.128	73.9637	106.948	98.7134
ENSMMUG00000023691	24.01	3.01	0	11.01	0	33.01	0	34.01	0	5.01	47.01	0	26.01	11.01	1.01	33.01	0	0	83.01	0	0	46.01	14.01	137.01	76.01	37.01	73.01	181.01	7.01	44.01	0	5.01
ENSMMUG00000012147	0	0	15.01	0	0	0	0	0	0	0	13.01	0	0	5.01	0	0	3.01	0	0	6.01	10.01	0	0	0	0	45.01	0	1.01	0	7.01	0	0
ENSMMUG00000018763	0	0	0	14.01	75.01	0	0	4.01	0	0	0	0	11.01	0	0	0	0	0	0	0	0	0	0	0	39.01	0	0	0	0	0	0	0
ENSMMUG00000029248	0	0	0	0	0	0	0	0	1.17147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000018151	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029307	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000020859	0	16.01	0	7.01	0	0	0	0	0	25.01	0	0	0	0	0	0	0	0	0	68.01	0	0	0	50.0425	71.01	0	0	0	0	0	0	0
ENSMMUG00000019755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.01	0	0	0	0	0	0	0
ENSMMUG00000012576	15.01	69.01	174.133	58.01	61.01	12.01	86.01	66.01	39.01	37.1381	63.01	4.01	37.01	50.01	27.01	81.01	20.0155	287.01	117.01	105.01	30.01	2.01	58.01	122.01	51.0325	16.01	150.01	0	0	40.01	25.01	18.01
ENSMMUG00000021080	17.01	20.01	43.2595	19.01	0	37.01	0	24.01	0	3.01	62.01	4.01041	29.01	0	26.01	85.01	0	6.01	99.01	12.01	0	192.01	15.01	73.01	98.01	0	90.01	0	60.01	0	8.01	1.01
ENSMMUG00000011511	48.0028	131.637	192.859	56.2445	27.01	67.1294	212.87	168.666	40.472	15.4817	136.811	163.68	168.417	264.765	47.634	155.162	10.2201	342.413	291.201	150.288	61.2003	311.073	114.619	57.7047	55.0621	0	187.335	201.425	52.3757	162.39	49.0789	12.2463
ENSMMUG00000003128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.01	0	0	0	0
ENSMMUG00000004797	13.02	0	0	0	0	20.01	0	23.02	1.01	0	0	0	0	17.02	0	52.02	25.01	0	0	0	0	0	0	0	34.01	0	0	0	0	41.02	0	0
ENSMMUG00000017102	0	6.01	0	0	0	0	0	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017063	49.01	87.01	14.01	121.01	0	7.01	75.01	247.01	0	41.01	263.01	130.01	68.01	211.01	37.01	111.01	0	47.01	161.01	301.01	13.01	1.01	0	144.01	144.01	0	132.01	192.01	165.01	60.01	78.01	35.01
ENSMMUG00000032201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000010838	30.01	0	0	80.01	0	80.01	0	0	0	6.01	0	0	0	39.01	0	0	0	145.02	62.01	4.01	0	0	44.01	0	0	0	46.01	0	0	0	0	0
ENSMMUG00000020021	0	0	0	53.01	0	0	0	4.01	0	1.01	0	0	0	21.01	0	13.01	0	0	0	0	0	0	0	0	0	0	1.01	0	0	44.01	5.01	0
ENSMMUG00000014069	15.01	0	78.01	0	0	62.01	0	128.01	78.2184	27.01	72.01	0	153.01	134.01	38.01	278.01	0	329.15	87.01	88.01	55.0181	168.01	54.01	52.01	179.01	16.01	69.01	2.01	126.01	78.01	63.01	1.01
ENSMMUG00000001343	3.01	0	14.01	0	1.01	0	0	0	0	0	6.01	0	54.01	40.01	31.01	0	0	0	0	85.01	0	0	48.01	0	0	0	1.01	0	0	0	0	33.01
ENSMMUG00000015876	113.06	213.031	617.09	215.098	13.3969	319.154	207.512	543.944	29.5187	229.032	449.223	424.861	389.365	810.393	170.953	650.557	33.7211	802.857	492.476	229.334	59.1886	840.583	727.758	83.7151	293.391	60.6619	625.976	458.231	510.101	630.821	143.762	149.988
ENSMMUG00000019223	0	22.5404	9.79881	64.01	0	0	23.01	15.01	0	10.8192	34.01	0	47.01	64.9822	6.26879	89.01	63.2735	0	59.131	0	0	173.633	75.7926	103.412	194.784	0	4.01	39.131	71.1424	80.01	18.5808	9.01
ENSMMUG00000031154	1.02549	9.50291	12.6232	12.8414	15.646	7.75846	1.28565	46.8453	16.9493	0	13.7424	18.9136	0	2.76421	3.20277	4.53648	0	16.2683	0	27.4164	35.2022	0	10.2304	16.1079	9.46802	18.693	25.8232	22.5611	17.004	12.9652	0	1.10848
ENSMMUG00000023181	1.01	13.02	78.3914	197.03	1.01	18.01	10.01	94.02	0	6.01	65.02	0	25.01	23.01	38.02	56.01	13.01	188.03	91.01	151.02	52.02	45.01	83.01	31.02	76.03	4.01	64.02	93.02	145.02	61.02	35.01	6.02
ENSMMUG00000021772	0	54.02	22.01	31.02	27.01	0	0	15.02	0	2.02	77.03	42.01	7.01	36.02	17.03	35.01	116.03	23.01	0	3.01	5.01	10.01	43.056	12.01	8.02	24.03	5.02	0	0	0	1.01	28.05
ENSMMUG00000007183	74.02	251.02	300.01	113.01	0	319.02	313.01	272.01	0	168.01	373.01	79.02	259.01	196.01	92.01	239.01	130.02	989.452	166.01	290.01	48.01	303.01	414.01	503.72	334.01	87.02	724.01	229.01	131.01	330.01	120.02	92.02
ENSMMUG00000002519	11.01	9.01	0	0	0	0	0	0	0	0	0	0	19.01	75.01	0	74.01	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	51.01	0
ENSMMUG00000031452	0	0	0	0	0	0	0	0	0	3.01	0	0	0	0	13.01	0	1.01	0	0	0	3.46459	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032387	0	0	0	3.83969	0	0	0	5.03163	0	0	1.01653	0	0	0	0	0	1.0128	0	0	0	0	0	0	2.24028	1.23409	5.14725	15.7347	1.01507	0	1.01464	1.0291	0
ENSMMUG00000020301	0	0	0	0	0	28.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003997	0	0	0	0	0	0	0	4.01	0	0	29.02	0	0	129.02	0	0	0	0	0	0	0	0	0	60.01	0	0	59.02	0	0	0	0	0
ENSMMUG00000009432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017294	43.01	155.01	321.62	226.01	1.01	170.01	97.01	40.01	0	54.01	115.184	254.182	159.01	444.01	43.01	294.01	0	209.01	198.01	98.01	0	385.01	204.01	0	1.01	0	238.01	220.179	0	254.01	0	37.01
ENSMMUG00000017654	0	13.01	88.03	0	0	0	25.01	0	0	0	41.0648	70.01	34.043	6.01	0	27.01	0	96.01	0	29.01	4.01	17.02	24.01	0	0	2.01	33.01	0	43.02	3.01	10.01	0
ENSMMUG00000017300	24.01	34.1038	28.01	17.01	10.01	66.6755	70.01	21.01	4.01	11.01	61.01	49.01	64.01	48.01	15.01	22.01	4.01	50.01	103.01	33.01	27.0196	91.01	69.01	26.01	33.01	14.01	61.0488	80.01	78.01	21.01	14.01	15.01
ENSMMUG00000010139	0	0	0	0	0	0	8.01	0	0	0	0	0	0	0	0	0	0	0	17.01	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000006525	49.01	170.777	252.358	120.013	25.1644	150.677	586.99	129.446	115.297	65.2991	229.301	99.4414	197.722	213.657	56.5042	234.842	0	226.433	391.987	0	0	484.791	153.739	95.9321	452.391	0	281.606	159.273	182.663	298.217	22.01	6.01
ENSMMUG00000015737	1.01	0	3.01	0	0	0	0	92.02	0	7.01	0	0	7.01355	9.01	0	6.01	0	0	51.01	0	1.01	72.01	0	0	21.01	0	48.01	106.01	0	0	0	0
ENSMMUG00000009997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000028830	0	16.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017141	96.02	154.02	238.02	108.423	0	255.02	398.901	121.02	0	30.01	267.37	4.03708	269.354	348.641	18.01	87.1276	144.02	397.333	349.984	69.02	106.01	163.01	190.447	395.535	178.898	28.01	294.047	172.01	349.02	159.959	56.02	103.02
ENSMMUG00000030134	0	0	0	1.18872	0	0	1.19097	0	0	0	0	0	0	0	0	0	0	0	1.15962	0	0	1.17651	1.14214	1.18486	2.44662	0	0	0	1.1159	0	0	0
ENSMMUG00000008792	0	30.02	0	23.02	0	0	0	0	0	4.01	0	0	13.01	21.01	0	0	0	82.02	1.01	56.01	0	0	86.02	0	15.01	23.01	0	0	0	0	27.02	19.02
ENSMMUG00000002293	0	0	0	0	0	0	0	0	0	0	15.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000019288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.01	0	0	0	0	0	0	0	0
ENSMMUG00000013407	0	0	0	326.01	33.01	0	0	42.01	273.01	9.01	58.01	0	18.01	0	32.01	0	1.01	48.01	48.01	145.01	55.01	28.01	1.01	0	64.01	78.01	37.01	26.01	52.01	58.01	21.01	0
ENSMMUG00000012953	158.01	601.01	591.251	180.01	44.01	1024.01	1086.32	436.791	0	141.01	628.01	471.01	699.01	984.398	236.01	611.01	26.01	602.01	1379.01	423.029	56.01	991.135	454.01	269.01	419.01	39.0401	478.01	625.194	769.01	1191.01	12.01	106.01
ENSMMUG00000011687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0
ENSMMUG00000002985	0	25.01	0	2.01	46.01	54.01	0	59.01	0	0	0	179.018	1.01	59.01	4.01	0	93.0171	32.01	156.01	5.01	122.101	60.01	87.0182	101.01	8.01	25.01	57.025	0	0	0	31.01	12.01
ENSMMUG00000003979	1.01	0	0	0	0	0	10.01	0	0	0	0	0	0	0	0	0	0	0	0	22.01	0	57.01	0	0	0	0	26.01	0	0	0	0	0
ENSMMUG00000001439	0	0	0	34.8644	0	23.01	30.01	0	0	4.01	0	0	0	0	5.01	0	0	0	0	0	0	0	0	0	0	0	5.01	0	0	0	0	2.01
ENSMMUG00000018657	0	81.02	0	0	0	7.01	0	39.0299	0	0	34.02	0	0	0	17.01	0	0	0	0	0	0	22.02	33.01	65.02	0	0	1.01	0	0	0	0	0
ENSMMUG00000008051	1.01	0	0	13.6713	15.2887	0	4.01	1.06149	20.3481	9.53467	7.01	17.9299	1.01	0	6.01	14.01	6.01	3.03457	12.1896	1.01	0	16.9679	7.01	1.97224	22.3408	18.807	9.59593	15.199	8.05961	1.01	6.30823	1.01
ENSMMUG00000029087	17.4351	70.592	72.4949	112.389	79.3919	131.926	57.7969	73.6725	40.8956	41.304	60.8118	181.371	70.078	63.1668	37.2441	49.0743	93.9407	152.424	120.627	46.9998	58.7018	118.708	125.226	91.5645	197.282	92.7368	128.379	130.58	167.016	144.497	61.1948	35.0283
ENSMMUG00000029415	0	0	1.13071	0	0	0	1.18813	0	0	0	0	0	0	1.14965	0	0	0	1.07724	0	0	1.11849	0	2.32913	0	0	0	0	0	0	0	0	1.38619
ENSMMUG00000004630	0	44.5354	2.28146	99.02	31.01	22.02	2.01	37.1982	0	15.02	60.02	0	102.411	92.02	3.01	90.02	0	0	173.59	64.8039	4.18939	88.206	85.885	0	6.27256	0	31.02	32.01	0	1.42711	37.5646	0
ENSMMUG00000000961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003745	27.02	57.2446	119.064	78.01	64.01	35.02	91.01	137.03	0	26.02	28.01	81.025	30.01	106.414	11.02	77.02	115.02	47.01	182.01	37.01	1.01	141.02	76.0345	254.02	177.02	0	64.03	86.02	148.01	140.204	46.03	6.02
ENSMMUG00000031412	0	1.09792	1.0893	2.20228	0	1.09815	0	0	0	0	1.08378	0	0	0	0	1.08351	0	2.22514	1.09085	0	0	1.09559	1.07967	0	1.07839	0	1.74296	0	0	2.21693	2.2685	0
ENSMMUG00000017983	0	0	3.01	19.01	4.01	15.01	14.01	0	0	5.01	28.01	0	11.01	0	3.01	0	0	0	0	20.01	86.0355	0	19.01	81.01	0	4.01	14.01	60.01	0	0	4.01	0
ENSMMUG00000022524	0	0	0	0	0	0	0	37.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031495	0	31.01	0	92.01	49.01	0	27.01	27.01	0	0	14.01	0	32.01	31.01	11.01	78.01	32.01	0	40.01	13.01	0	37.1055	3.01	50.01	46.01	26.01	12.01	0	0	55.01	0	5.01
ENSMMUG00000016892	0	2.01	0	15.01	0	0	0	9.01	0	0	0	0	23.01	0	2.01	0	0	0	0	0	0	0	38.01	0	0	0	0	0	1.01	0	0	0
ENSMMUG00000030444	0	0	3.01	9.23192	12.0354	2.15536	6.51865	0	6.61978	0	0	2.15515	2.42566	4.04805	0	2.82662	0	0	11.9028	1.01	3.17565	2.08547	5.09775	12.0959	12.5631	1.01086	2.11239	9.52753	5.12254	0	0	0
ENSMMUG00000004928	18.02	1.01	10.01	14.01	1.01	35.0563	13.02	44.01	0	1.01	16.01	23.01	34.02	40.01	14.01	8.01	9.01596	232.01	41.02	57.01	135.02	6.02	25.01	0	0	2.01	27.03	41.01	67.02	57.01	0	35.01
ENSMMUG00000016015	0	0	0	10.075	0	23.1558	0	9.2186	0	1.1704	6.01	0	0	0	1.10806	60.9425	5.41015	0	11.01	2.1081	0	0	58.7986	21.7307	31.2667	0	3.16107	0	0	40.074	0	5.96696
ENSMMUG00000005397	0	20.01	17.01	0	0	12.01	0	46.02	0	0	0	43.035	7.01	12.01	4.01	1.01	0	0	0	129.02	2.01	0	3.01	0	2.01	5.01	3.01	121.02	0	5.01	13.01	1.01
