gene	21373_7_20	21373_7_37	21373_7_60	21373_7_102	21373_7_106	21373_7_139	21373_7_152	21373_7_160	21373_7_166	21373_7_169	21373_7_175	21373_7_183	21373_7_202	21373_7_204	21373_7_216	21373_7_221	21373_7_225	21373_7_239	21373_7_254	21373_7_262	21373_7_271	21373_7_279	21373_7_304	21373_7_317	21373_7_327	21373_7_340	21373_7_346	21373_7_354	21373_7_358	21373_7_369	21373_7_377	21373_7_381
ENSMMUG00000020316	31.01	180.03	0	57.01	1.01	212.03	56.02	228.02	0	5.01	60.02	0	41.02	116.02	102.522	85.01	3.01	118.03	168.01	137.02	8.01	87.02	60.01	249.01	161.02	11.02	109.01	140.02	93.01	150.02	39.01	0
ENSMMUG00000029021	2.01	0	3.5411	9.56798	0	1.01	0	4.62868	29.01	0	24.0031	0	27.8016	5.33189	2.17571	30.0534	0	9.47285	11.2385	3.01	0	0	0	15.5884	0	0	5.18879	19.6949	3.01	33.7007	4.31137	0
ENSMMUG00000030029	0	3.47667	7.33311	2.83443	7.34168	10.7	10.1601	4.39825	0	3.40708	3.63853	1.78644	4.57535	3.40873	3.18141	2.33265	5.69011	3.45149	4.59633	2.21719	14.6761	4.89017	16.6258	3.52527	16.1308	8.97142	4.32114	1.30727	2.02287	10.7325	0	0
ENSMMUG00000021039	0	0	0	1.01	0	0	0	0	0	0	7.01	0	0	0	8.01	34.01	14.02	0	0	0	1.01132	0	0	0	0	21.01	1.01	0	0	0	12.01	0
ENSMMUG00000019675	6.01	0	0	0	0	0	0	0	0	8.01	0	80.2419	0	0	0	0	0	0	0	0	0	184.99	0	0	77.01	0	0	82.01	0	0	0	0
ENSMMUG00000002708	0	0	0	0	0	8.02	0	35.01	0	0	0	119.03	0	3.04027	0	25.01	0	0	35.02	2.01	7.16388	0	0	0	15.4449	0	0	0	1.01	1.01	0	3.43128
ENSMMUG00000030014	0	8.13883	13.4208	1.74403	17.0352	0	3.4289	3.82914	4.35758	2.32274	6.27825	8.60029	7.66765	2.4221	5.74788	15.295	25.8641	3.79601	7.38354	3.75456	4.62828	1.53646	16.4847	26.2851	24.3598	11.1275	5.65357	20.3384	22.6592	24.7616	0	7.31502
ENSMMUG00000032157	0	1.01	2.01	0	0	5.01	0	0	0	1.0719	3.01	13.4554	2.01	6.84417	0	0	0	6.01	2.42076	0	0	0	0	0	1.01	1.52092	0	0	6.05951	5.41928	0	0
ENSMMUG00000018266	0	0	0	0	18.01	0	0	0	0	0	0	0	16.02	0	38.02	2.01	0	0	0	0	0	89.02	0	0	30.01	3.01	17.02	21.02	71.02	0	0	1.01
ENSMMUG00000003298	6.01	21.01	48.02	31.02	26.5114	57.02	4.01	39.02	24.01	2.01	46.01	112.01	26.01	21.02	0	15.01	6.01	12.01	34.01	37.01	153.02	10.01	91.02	0	141.097	7.01	37.01	162.02	34.02	52.02	0	0
