gene	21373_7_6	21373_7_10	21373_7_33	21373_7_35	21373_7_41	21373_7_52	21373_7_56	21373_7_58	21373_7_62	21373_7_75	21373_7_79	21373_7_112	21373_7_135	21373_7_148	21373_7_162	21373_7_173	21373_7_185	21373_7_212	21373_7_214	21373_7_235	21373_7_244	21373_7_258	21373_7_269	21373_7_273	21373_7_281	21373_7_287	21373_7_338	21373_7_352	21373_7_375
ENSMMUG00000023807	191.886	389.33	908.849	389.539	567.553	421.231	958.918	882.716	646.481	190.01	897.124	1293.67	705.705	142.01	547.819	390.18	483.564	1063.46	341.805	1826.7	264.683	978.404	1575.91	1169.86	710.223	1655.92	576.981	2370.9	1333.81
ENSMMUG00000010641	1.69109	0	2.97883	0	0	5.2468	19.928	5.44352	0	1.50006	22.2229	20.9715	0	1.76176	21.3715	2.40671	21.9815	7.79269	0	0	0	0	17.5452	36.1277	0	0	6.61143	0	5.94306
ENSMMUG00000002794	4.01	43.01	0	74.01	29.01	54.01	151.01	93.01	0	121.01	83.01	125.01	66.01	0	68.01	38.01	12.02	43.0254	16.01	204.01	0	61.01	85.01	128.02	0	0	13.01	246.01	0
ENSMMUG00000029887	2.01	0	1.01	2.01	3.01103	0	1.01152	1.01	10.01	1.01	1.01	2.39796	0	0	0	3.01	17.0033	0	0	0	0	1.01	0	1.07533	0	1.01	1.01	0	0
ENSMMUG00000006661	26.01	0	33.01	0	79.164	8.01	0	33.01	0	114.01	43.01	14.01	0	0	0	2.01	0	0	11.01	43.01	0	0	0	110.01	1.01	70.01	40.01	0	0
ENSMMUG00000003861	17.01	0	62.01	0	0	3.01	36.01	98.01	144.01	0	181.01	3.01	11.01	0	99.01	161.01	248.01	116.01	6.01	0	0	0	0	214.01	207.01	0	50.01	94.01	0
ENSMMUG00000023289	0	0	0	0	1.01	1.01	7.01	8.01	0	0	0	0	36.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000030479	0	0	0	0	0	6.01	4.01	1.01	0	0	0	25.01	0	0	3.01	0	0	0	6.01	0	0	0	0	28.01	0	0	1.01	25.01	0
ENSMMUG00000013216	0	0	0	0	0	0	0	55.01	0	0	25.01	0	0	0	0	18.01	0	0	0	0	0	0	0	70.01	0	0	8.01	0	0
ENSMMUG00000021529	6.26771	0	3.82965	8.60783	8.41051	8.30581	17.3251	5.61101	76.5005	8.87447	6.81191	25.0185	8.07008	17.9635	5.4484	14.1583	10.3945	9.60502	2.39664	12.4379	21.4381	33.8262	9.11694	16.3885	13.3304	1.32787	8.31022	11.3816	23.9358
ENSMMUG00000001282	30.01	25.01	87.01	47.01	30.01	28.01	133.723	122.01	103.01	11.01	97.01	223.01	67.01	41.01	127.01	24.01	6.01	113.01	78.01	175.01	39.01	37.01	323.01	83.01	200.01	0	88.01	253.691	114.01
ENSMMUG00000030518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029653	0	0	21.01	1.01	30.9429	4.01	21.5743	1.05166	61.8642	32.4726	14.8559	48.5765	0	0	2.01	66.1232	0	7.01	0	3.01	36.6612	0	0	25.2451	74.8421	0	39.2796	18.01	65.0064
ENSMMUG00000005009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000016377	15.01	0	8.01	0	3.01	0	3.01	36.01	13.01	0	75.01	55.01	0	0	37.01	0	0	60.01	12.01	122.01	0	8.01	0	0	0	0	1.01	33.01	0
ENSMMUG00000022259	18.01	0	36.01	21.01	26.01	6.01	200.01	78.01	198.01	121.02	41.01	1.01	4.01	0	41.01	70.01	38.01	48.2505	42.01	35.01	0	0	0	71.01	0	0	11.01	0	56.01
ENSMMUG00000022280	8.01	0	0	35.4446	11.01	17.01	0	16.01	181.086	0	135.01	79.02	0	0	19.01	118.03	0	0	6.01	0	0	0	0	54.01	0	0	0	0	10.01
ENSMMUG00000031574	2.01	0	81.2148	40.3649	6.01	1.01	82.9513	7.56226	0	85.8656	40.01	42.8846	0	1.01	33.1318	16.01	0	96.2812	4.66046	80.8811	64.3138	54.2019	0	14.331	0	0	1.32865	37.01	22.01
ENSMMUG00000007357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.01	0	0	0	0	0	0	0
ENSMMUG00000008579	26.01	0	36.01	48.01	31.01	11.01	110.02	112.501	87.01	0	92.02	130.428	0	0	17.02	2.01	1.01	39.01	14.02	0	7.01	0	0	20.01	0	0	81.01	171.035	45.02
ENSMMUG00000007887	1.65684	0	0	0	0	0	1.75579	0	0	0	0	1.48426	0	0	0	0	0	0	1.58383	1.47995	0	1.31435	1.32434	0	0	0	0	1.31003	0
ENSMMUG00000009047	39.3752	2.64748	8.15028	12.2097	12.0247	6.62563	11.6421	17.4474	35.5108	66.9383	21.848	68.2469	182.109	1.08756	21.5186	4.14059	7.01	10.5918	37.1167	1.12381	1.1222	11.2358	1.01	25.2186	2.22074	3.48776	79.5751	75.7092	4.04017
ENSMMUG00000031784	0	0	0	5.5118	3.00919	10.5032	18.906	0	22.3496	5.53331	3.50832	0	0	1.1609	0	9.79301	0	0	1.1064	6.381	7.92209	32.0961	12.6509	18.9104	5.13565	0	0	16.2782	23.1893
ENSMMUG00000023782	5.01	1.01	147.449	108.01	80.3949	18.01	68.01	46.01	149.932	31.01	115.373	45.01	50.01	42.01	104.607	55.6117	112.954	106.01	27.01	109.01	41.01	81.01	235.01	209.357	38.0678	39.01	117.01	60.01	157.949
ENSMMUG00000003921	0	0	0	0	0	1.01	0	30.01	247.01	0	0	13.01	0	0	14.01	0	0	0	5.01	1.01	0	0	0	58.01	51.01	0	0	0	0
ENSMMUG00000019498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000015072	0	0	0	0	2.01	0	0	0	0	0	0	0	35.01	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000011441	28.01	0	6.01	0	35.01	6.01	273.01	39.01	0	0	226.01	224.01	1.01	0	28.01	0	0	0	73.01	0	0	19.01	0	142.057	28.01	0	41.01	0	0
ENSMMUG00000029576	3.26322	1.02326	1.61033	2.04192	0	11.8162	1.0409	2.06532	0	4.21477	0	1.01282	18.511	0	0	0	19.9961	4.27501	0	2.01381	1.01	4.29485	0	10.3502	5.01099	0	0	6.66427	1.01
ENSMMUG00000001747	0	0	0	0	4.01	41.01	58.01	0	0	0	6.01	91.01	0	0	0	0	0	0	11.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003325	0	0	32.01	0	0	0	0	51.01	0	33.01	0	0	0	0	0	0	0	49.01	0	1.01	0	0	0	30.01	0	0	0	0	0
ENSMMUG00000006727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.01	0	0	0	0
ENSMMUG00000010531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.02	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000022505	0	0	0	0	0	0	0	0	59.1172	0	0	51.878	0	0	0	0	0	26.01	5.01	51.01	0	0	0	0	0	0	0	0	0
ENSMMUG00000018920	0	0	0	0	0	1.01	60.01	20.01	79.01	24.01	0	85.01	0	0	24.01	0	0	10.01	29.01	39.02	0	76.01	0	68.01	0	0	0	0	0
ENSMMUG00000020488	33.01	0	73.01	0	0	247.01	517.01	294.01	396.01	0	213.01	332.473	0	0	170.01	220.279	0	222.01	43.01	106.01	45.3472	13.01	261.01	595.01	0	0	279.01	144.01	5.01
ENSMMUG00000018395	27.01	0	106.01	82.01	53.01	109.01	187.01	139.01	139.01	0	304.01	120.01	169.129	0	144.01	202.01	49.01	163.01	27.01	202.01	243.01	107.01	0	240.01	0	34.01	88.01	117.01	121.539
ENSMMUG00000009180	3.01	0	0	9.02	0	2.01	32.01	0	0	0	64.01	28.3668	0	0	10.01	0	0	13.01	5.01	0	0	0	0	21.01	0	0	0	0	0
ENSMMUG00000002259	30.01	0	21.01	0	0	0	131.01	0	3.01094	3.01	2.01	18.01	11.0159	0	8.01	0	0	2.01	1.01	263.01	3.01	4.01	8.01321	0	0	0	6.01	11.01	4.01
ENSMMUG00000005861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.01	0
ENSMMUG00000012534	145.006	85.01	575.01	488.01	232.575	328.055	595.447	450.002	261.413	440.747	1413.65	676.404	634.12	437.01	153.01	841.01	307.04	58.01	209.01	749.543	76.01	1746.08	321.01	611.47	511.76	636.68	527.01	1511.97	210.01
