gene	21373_7_6	21373_7_10	21373_7_33	21373_7_35	21373_7_41	21373_7_52	21373_7_56	21373_7_58	21373_7_62	21373_7_75	21373_7_79	21373_7_112	21373_7_135	21373_7_148	21373_7_162	21373_7_173	21373_7_185	21373_7_212	21373_7_214	21373_7_235	21373_7_244	21373_7_258	21373_7_269	21373_7_273	21373_7_281	21373_7_287	21373_7_338	21373_7_352	21373_7_375
ENSMMUG00000031161	0	0	0	0	0	0	61.01	0	0	0	0	0	0	0	17.01	0	0	0	0	0	30.01	0	0	0	0	0	0	6.01	0
ENSMMUG00000031606	0	1.75763	5.27015	19.2183	5.52171	0	3.66195	0	5.14446	11.7065	3.17398	8.69096	8.51057	12.764	4.87306	8.84673	31.5536	0	0	18.0849	4.46042	19.956	12.1964	3.28697	12.4947	0	13.5856	5.84067	25.6263
ENSMMUG00000002939	3.01	0	33.01	0	0	5.01	22.01	49.01	0	0	90.01	3.01	33.01	0	11.01	0	0	0	0	88.01	0	0	0	28.0492	0	0	53.01	26.01	0
ENSMMUG00000032178	26.6677	0	0	12.0588	0	29.4675	9.43139	0	42.0955	0	1.86457	0	39.0648	59.5995	6.3082	28.4466	14.9277	15.0995	8.51149	0	0	0	74.065	4.08705	107.326	61.2121	4.09387	0	21.3335
ENSMMUG00000030379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000028680	240.935	233.057	296.683	738.614	257.535	851.538	412.01	123.473	695.825	381.879	312.163	205.109	327.791	435.01	220.274	862.541	1033.72	250.81	101.904	244.359	1088.63	830.583	670.423	244.01	840.755	365.084	146.727	1160.03	672.406
ENSMMUG00000032383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.01	0
ENSMMUG00000006202	0	0	0	0	0	8.01	0	117.02	339.02	148.02	23.01	40.4996	0	0	14.02	0	0	28.01	0	0	0	276.203	0	72.01	22.01	0	0	39.01	28.02
ENSMMUG00000017148	0	0	47.01	60.02	21.01	0	0	13.01	52.01	81.01	0	0	69.01	0	1.01	0	0	4.01	13.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029550	1.05043	0	0	0	0	0	0	1.02646	0	0	1.02991	0	0	0	0	0	0	0	0	1.0438	0	0	0	0	0	0	0	0	0
ENSMMUG00000009155	0	0	0	51.01	0	0	0	13.01	103.01	0	0	0	27.01	0	0	0	0	0	0	0	0	0	0	0	0	0	17.01	0	0
ENSMMUG00000005448	0	0	0	46.01	1.01	1.01	0	67.01	0	0	0	0	0	0	51.01	0	0	0	3.01	0	0	79.3482	0	0	0	0	0	127.01	40.0389
ENSMMUG00000009310	0	0	0	0	0	0	1.01464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05655
ENSMMUG00000009479	17.01	0	28.01	0	0	2.01	0	17.01	0	55.01	40.4303	0	1.01	0	6.01	0	0	0	16.1146	0	0	0	0	139.512	0	0	24.01	0	11.01
ENSMMUG00000019296	0	0	6.39471	14.4257	0	2.42543	9.75369	0	5.12547	11.9906	0	8.20082	16.9045	13.5978	8.21821	22.1024	0	3.24546	0	0	0	11.0644	20.8395	2.22185	0	13.8647	0	13.469	34.8533
ENSMMUG00000022507	0	0	0	0	0	1.01	0	0	0	0	2.01	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000014668	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.01	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003522	3.66379	6.94051	0	13.9125	0	4.36336	0	6.12785	1.08863	0	5.19941	3.74878	1.10731	14.922	0	9.32978	0	4.80222	3.01	0	0	13.8455	0	0	11.7819	0	0	1.65036	7.73952
ENSMMUG00000028785	37.01	0	0	89.01	61.01	21.01	0	191.01	0	0	32.01	4.01	1.01569	105.01	44.01	0	0	0	7.01	94.01	38.01	0	0	295.01	23.01	0	59.01	0	0
ENSMMUG00000000081	0	0	0	0	0	0	48.01	59.01	1.01	0	4.01	0	0	0	20.01	0	0	0	0	0	0	0	118.01	0	0	0	19.01	0	12.01
ENSMMUG00000017484	49.6829	84.6359	29.2922	58.0756	11.5389	34.6677	120.882	13.702	34.1663	47.4903	19.4757	25.343	34.7916	43.9001	49.9956	22.1864	31.0594	7.20955	17.9679	29.5976	11.1844	38.4068	36.3414	136.496	72.4383	85.6834	56.0257	17.5186	46.4602
ENSMMUG00000021788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000330	0	0	0	95.0006	0	0	0	70.01	0	0	90.01	34.01	0	0	0	116.01	0	135.01	25.01	1.01	0	0	0	0	0	0	15.01	44.01	0
ENSMMUG00000003130	11.01	0	34.01	0	39.01	5.01	63.01	149.01	0	0	0	37.01	8.01	63.01	79.01	50.01	0	89.01	22.01	0	0	0	233.01	271.01	0	0	65.01	107.01	3.01
ENSMMUG00000007744	0	0	0	0	0	11.7238	2.00882	2.39521	0	0	0	0	0	1.09178	1.15121	2.10484	0	1.13417	0	0	0	1.119	0	0	0	0	1.19578	0	1.09437
ENSMMUG00000015117	2.01	0	0	0	0	5.01	197.02	119.02	107.01	0	136.02	124.02	0	0	148.03	0	0	1.01	76.02	0	0	0	0	153.02	0	0	106.03	78.01	38.01
ENSMMUG00000008209	0	0	0	31.01	0	0	62.01	0	0	0	19.01	59.01	0	0	13.01	0	0	12.01	0	0	0	0	0	7.01	0	0	14.01	0	0
ENSMMUG00000023603	7.01	0	0	18.01	18.01	1.01	27.01	61.01	0	0	27.01	78.01	0	0	38.0685	0	0	0	1.01	67.01	0	0	0	0	0	0	11.01	0	0
ENSMMUG00000015404	2.01	0	7.01	0	0	1.01	158.475	12.01	1.01	0	0	44.0124	0	0	0	0	0	0	9.01	1.01	0	0	0	91.2362	0	0	0	0	0
ENSMMUG00000031188	1.19259	2.79824	11.2844	4.98885	2.10829	6.98244	1.47667	6.75044	9.01943	7.80049	1.04655	1.09232	3.64778	5.33384	11.1828	4.07214	12.7147	4.2889	1.0076	33.8554	0	27.1366	29.2451	2.19654	2.74788	0	11.1035	1.82518	2.18425
ENSMMUG00000006609	9.01	0	0	0	0	0	0	2.01	0	0	0	59.01	0	0	0	0	0	0	4.1596	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000010651	9.01	0	115.398	5.01	31.01	21.01	66.4886	237.897	0	189.389	71.6706	159.073	0	0	161.964	69.4972	0	8.01	65.9323	73.475	87.01	83.8818	104.95	354.505	0	0	83.8907	161.382	0
ENSMMUG00000021556	23.01	0	152.01	3.01	158.01	22.01	89.01	190.01	2.01	74.4274	95.01	72.01	42.01	2.01	141.01	8.01	45.01	45.01	38.01	0	5.01	108.185	5.01	4.01	16.0276	339.01	284.01	255.426	159.01
ENSMMUG00000011091	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.01	0	0	0	0	0	0	0	0
ENSMMUG00000023282	4.01	0	31.9481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017453	0	0	0	0	0	0	0	0	3.01398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000008626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	0	0
ENSMMUG00000017778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029761	6.4448	0	0	7.37515	2.01	0	5.29759	5.79497	0	0	0	6.08197	0	0	17.8622	24.2339	0	0	3.01	0	0	21.2499	0	26.973	0	0	1.01	45.01	0
ENSMMUG00000001348	3.01	0	71.02	0	0	10.02	24.02	0	0	0	52.02	27.01	0	31.01	36.02	0	0	0	21.02	57.01	0	0	0	0	0	0	0	1.01	0
ERCC-00039	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	0	0
ENSMMUG00000005666	0	0	0	0	0	0	34.01	0	0	0	0	0	153.01	0	53.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03719	0	0	0	0	0	0	0
ENSMMUG00000019156	0	0	51.02	0	5.01	12.01	98.03	48.02	0	0	14.01	76.03	4.01	0	7.01	0	0	0	5.01	0	0	0	6.01	164.03	0	0	13.03	0	12.0178
ENSMMUG00000029136	1.79558	0	0	9.22145	1.34138	13.1389	6.75675	0	0	8.23013	0	1.33114	5.5297	4.77874	0	0	0	1.07882	0	7.04655	8.14754	49.8762	1.14125	0	5.00965	19.9581	0	3.59201	0
ENSMMUG00000013367	14.0739	3.02478	23.01	3.02794	15.2669	7.11748	47.0286	34.7515	6.50824	6.67439	7.05994	29.0629	113.052	10.1023	56.2975	13.6857	2.66124	26.01	14.4355	166.222	0	26.357	8.05522	30.01	7.02493	7.03777	87.4052	2.24745	37.7318
ENSMMUG00000000054	12.01	0	0	0	0	0	0	23.01	49.01	0	91.01	7.01	0	0	24.01	2.01	0	61.01	9.01	0	0	96.0822	61.01	76.01	0	0	49.01	4.01	34.01
ENSMMUG00000019838	0	0	31.01	1.01	0	2.01	0	13.01	44.01	0	30.01	60.01	0	0	42.01	0	1.01	0	0	0	0	0	0	0	0	0	0	72.02	0
ENSMMUG00000008249	2.01	0	93.02	20.03	13.01	5.02	22.02	130.02	18.02	0	110.03	20.01	0	0	20.02	0	0	7.01	22.03	133.022	0	0	0	63.02	0	0	71.02	0	12.01
ENSMMUG00000005220	7.01	0	0	0	0	2.01	76.2772	69.01	35.6994	0	0	36.01	0	65.01	0	0	0	0	0	0	0	171.01	0	202.337	0	0	36.01	0	3.01
ENSMMUG00000032446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01489	0
ENSMMUG00000008299	4.01	0	0	0	1.01	1.01	0	23.01	0	0	0	75.01	0	0	0	3.01	0	0	0	0	0	0	0	0	0	14.01	4.01	0	0
ENSMMUG00000015025	0	4.01	34.01	0	0	3.01	9.35613	0	0	0	29.01	0	0	0	3.63073	0	1.01	0	0	0	0	0	0	4.01	0	0	0	0	0
ENSMMUG00000017761	16.01	0	0	0	0	0	0	0	0	0	0	47.01	0	0	0	0	0	34.01	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000013882	0	0	0	0	0	0	0	0	0	0	24.01	0	0	0	0	0	0	0	7.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000203	0	0	27.01	0	0	3.01	1.01	22.02	0	15.01	0	0	0	0	5.01	0	0	17.01	4.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000019981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000001983	1.118	0	186.065	11.3215	92.5264	23.136	221.986	703.482	171.829	1.01	360.388	252.811	326.17	2.01	195.568	0	0	71.034	80.6184	258.601	0	74.3278	0	237.252	0	0	566.746	142.979	87.0848
ENSMMUG00000023691	8.01	0	0	0	43.01	2.01	104.01	0	0	0	41.01	107.01	0	0	0	0	0	26.01	12.01	0	111.01	0	0	41.01	0	0	28.01	64.01	0
ENSMMUG00000012147	0	0	0	2.18602	0	2.01	0	7.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	17.01
ENSMMUG00000018763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.01	0	0	0	1.01	0	0	0	0	0
ENSMMUG00000029248	0	0	0	0	0	0	0	1.24825	0	0	0	0	0	0	0	0	0	4.17054	0	0	0	0	0	0	0	0	1.09009	0	0
ENSMMUG00000018151	1.01	0	0	0	0	0	0	0	3.01	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000029307	0	0	0	0	0	1.01	0	0	11.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000020859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.01	0	0	0	0	0	0	0
ENSMMUG00000019755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000012576	4.01	0	10.01	0	16.01	73.01	105.01	44.01	0	1.01	59.01	78.01	1.01	0	87.01	45.01	0	58.01	10.01	58.1214	59.01	0	24.01	146.01	0	0	36.01	0	66.01
ENSMMUG00000021080	10.01	0	20.01	9.01	0	24.01	26.01	14.01	86.01	0	145.01	46.01	0	0	48.01	100.01	316.01	0	9.01	0	180.01	19.0412	0	386.01	95.01	0	9.01	79.01	143.01
ENSMMUG00000011511	23.01	0	45.657	0	0	18.6791	141.6	295.481	57.6849	0	218.51	201.256	0	0	153.28	21.7442	143.125	97.3978	54.3773	61.4056	49.2607	58.1868	1.01	168.913	0	0	137.513	0	51.01
ENSMMUG00000003128	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000004797	0	0	0	0	0	0	0	0	0	0	34.02	0	0	0	23.02	0	0	0	0	0	0	0	0	130.02	0	0	20.01	0	0
ENSMMUG00000017102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017063	16.01	0	0	0	0	8.01	93.01	106.01	128.01	0	174.01	296.01	0	0	125.01	64.01	0	10.01	64.01	0	84.32	0	0	143.01	0	0	0	109.01	68.01
ENSMMUG00000032201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000010838	2.01	0	75.01	0	78.02	4.01	0	0	0	0	3.01	0	0	0	44.02	128.01	0	54.01	0	124.01	0	0	0	0	0	0	0	0	0
ENSMMUG00000020021	0	0	0	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0	21.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000014069	12.01	0	29.01	48.01	24.01	4.01	190.01	90.01	0	0	161.01	78.01	2.01	0	22.01	0	0	86.01	5.01	92.01	95.01	0	0	212.098	0	0	28.01	0	0
ENSMMUG00000001343	18.01	0	0	0	0	30.01	104.01	0	0	0	0	0	0	0	0	0	0	10.01	2.01	0	0	0	63.01	0	0	0	0	0	0
ENSMMUG00000015876	55.3545	3.36703	68.2468	224.385	30.0315	27.8915	321.6	300.084	132.446	45.092	389.092	500.144	47.859	23.463	276.283	3.11236	58.5271	215.616	105.01	243.261	35.893	181.731	12.6498	625.644	41.358	4.01196	168.884	51.6268	132.614
ENSMMUG00000019223	31.01	0	65.01	0	10.01	0	0	68.01	50.01	0	18.01	49.0318	8.87779	0	45.01	0	46.1309	18.3864	56.9588	1.01	0	0	0	154.806	0	0	108.01	0	45.9211
ENSMMUG00000031154	7.84564	3.27984	11.4668	11.8886	102.561	10.367	6.05877	20.0611	14.1198	29.3676	13.3734	29.302	42.1656	9.49531	6.49119	12.1232	25.2569	12.9033	0	10.3097	181.147	29.0732	42.6979	11.6879	83.0576	0	13.7246	111.443	19.0005
ENSMMUG00000023181	5.01	0	0	14.01	23.02	24.01	0	29.01	2.01	0	67.02	32.02	13.0434	0	39.01	1.01	19.01	8.01	28.01	20.01	0	0	60.0253	97.02	0	0	23.01	0	0
ENSMMUG00000021772	0	2.01	4.01	0	4.01	5.02	44.02	20.0201	0	0	39.02	5.01	0	0	42.03	0	43.01	0	0	0	0	0	0	119.02	0	364.02	0	0	0
ENSMMUG00000007183	41.01	0	25.01	0	0	16.01	482.02	78.01	0	0	269.02	156.064	0	0	409.01	53.01	0	90.02	90.01	14.01	0	0	0	471.01	45.01	0	175.01	0	21.01
ENSMMUG00000002519	1.01	0	0	0	0	0	0	46.01	0	0	32.01	8.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031452	0	0	0	0	3.01	0	0	0	0	0	0	0	1.01	6.01	0	12.01	0	0	0	0	0	0	0	2.01	0	0	0	112.01	0
ENSMMUG00000032387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000020301	0	0	0	0	0	1.05427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003997	4.01	0	0	0	0	1.01	0	0	0	0	0	33.01	0	0	8.01	0	0	0	0	0	0	71.01	112.02	0	0	0	0	0	0
ENSMMUG00000009432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017294	17.1299	0	32.01	0	0	10.01	273.01	150.01	0	0	254.01	297.01	0	0	78.01	0	1.01	18.01	74.01	0	0	42.0712	0	201.193	0	0	130.01	181.01	44.01
ENSMMUG00000017654	0	0	0	0	17.01	3.01	0	16.02	0	0	23.01	0	0	0	21.01	81.02	0	0	5.01	45.01	0	0	0	42.01	0	0	0	58.0199	0
ENSMMUG00000017300	6.01	0	33.01	10.2277	22.01	5.01	57.01	49.01	55.01	22.01	86.0895	111.01	2.01	19.0223	38.01	25.01	0	36.01	12.01	89.01	12.01	27.01	38.01	110.06	43.01	49.01	0	128.055	12.01
ENSMMUG00000010139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000006525	33.01	0	272.138	0	8.20691	22.1221	617.421	80.7048	241.627	107.802	90.4284	331.323	61.01	92.01	127.518	131.01	0	29.01	33.7444	172.585	0	113.375	0	50.4574	0	0	223.922	104.508	103.289
ENSMMUG00000015737	4.01	0	0	0	0	0	0	0	0	0	76.01	18.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.02	0
ENSMMUG00000009997	0	0	0	0	0	0	0	3.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.02	0	62.01
ENSMMUG00000028830	0	0	4.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017141	30.02	59.01	81.01	0	78.1838	8.02	169.02	210.02	5.02882	0	147.02	386.02	0	77.02	115.02	10.01	21.0854	217.01	111.02	421.02	0	50.01	0	391.978	0	0	98.01	71.02	83.01
ENSMMUG00000030134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35354	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000008792	0	0	16.0882	14.01	28.02	1.01	9.01	0	0	71.02	0	49.01	0	0	25.01	37.01	19.01	0	16.02	0	0	0	0	51.01	0	0	0	0	0
ENSMMUG00000002293	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000019288	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000013407	57.01	5.01	0	72.01	176.01	226.01	100.01	102.01	417.01	0	10.01	1.01	0	0	4.01	93.01	281.01	73.01	11.01	303.01	83.01	1902.65	301.01	77.01	21.01	197.01	48.01	216.044	0
ENSMMUG00000012953	110.01	27.01	47.0154	46.01	17.01	28.01	603.01	449.01	19.01	0	389.01	413.01	178.01	0	168.01	203.01	247.01	257.749	162.01	265.01	0	236.01	0	931.151	0	1.01	172.01	158.01	3.01741
ENSMMUG00000011687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000002985	2.01	0	34.01	0	0	18.0138	50.01	0	50.01	0	0	0	1.01	0	0	0	0	0	24.01	0	5.01	0	0	0	207.01	2.01	0	50.01	9.01
ENSMMUG00000003979	0	0	0	0	12.01	1.01	0	0	0	0	0	91.01	0	0	0	0	0	0	7.01	0	0	0	0	81.01	0	0	0	0	0
ENSMMUG00000001439	7.01	0	0	62.9225	0	20.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01	0	0	0	0	0	0	0
ENSMMUG00000018657	0	0	33.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000008051	10.01	11.01	1.01861	3.23945	10.588	19.2026	2.01	0	28.3103	12.707	13.5746	8.03347	6.01	26.3634	0	11.7969	18.0662	4.01	1.01	6.81725	3.01	16.3949	28.01	1.01	29.2895	8.06727	1.01	35.804	16.1591
ENSMMUG00000029087	22.6712	40.7187	55.9768	63.4308	79.142	41.5813	87.7628	66.7052	35.5731	54.9703	144.239	125.125	102.344	61.2265	71.1546	58.2874	59.3147	124.692	22.8502	139.48	56.8734	127.881	226.91	107.289	60.6247	186.38	51.9405	208.809	123.826
ENSMMUG00000029415	0	0	0	0	0	0	1.19599	0	0	0	0	0	0	0	0	1.26757	0	0	0	0	0	0	0	0	0	0	1.30134	0	0
ENSMMUG00000004630	24.02	0	33.02	0	1.01	4.01	16.1108	22.02	0	0	117.02	35.65	0	0	29.1908	0	0	78.5342	16.02	63.3699	0	0	0	61.0226	0	0	31.02	157.507	0
ENSMMUG00000000961	0	0	0	0	0	0	0	1.01887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003745	17.02	0	102.01	17.8518	15.01	12.01	172.02	19.01	0	13.01	128.541	148.03	96.02	0	31.02	46.01	0	125.02	23.01	13.9651	0	0	52.01	186.03	34.0141	0	8.01	300.03	42.01
ENSMMUG00000031412	0	0	0	0	0	0	0	0	0	0	2.20944	0	0	0	0	0	0	1.0706	0	0	0	0	0	0	0	0	1.10728	0	0
ENSMMUG00000017983	0	4.01	0	22.01	42.01	50.01	1.01	12.01	447.01	41.01	45.01	0	47.01	24.01	20.01	44.01	86.01	0	6.01	0	0	0	54.01	17.01	85.4748	25.01	0	0	3.01
ENSMMUG00000022524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031495	4.01	0	65.01	0	0	1.01	0	0	26.01	0	8.01	45.1714	0	0	13.01	55.01	0	19.01	10.01	1.01	0	0	0	0	117.517	0	13.01	0	0
ENSMMUG00000016892	1.01	0	1.01	0	0	1.01	0	0	0	0	0	23.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.096
ENSMMUG00000030444	0	193.068	1.03743	2.19626	2.03383	5.1855	0	1.01	16.4959	3.08791	2.02511	0	0	1.02584	0	5.51473	1.01694	9.01	0	0	0	0	2.57021	1.25362	7.71091	0	0	0	3.1716
ENSMMUG00000004928	1.01	0	10.01	9.02	19.01	0	12.01	27.01	62.02	0	21.01	17.02	1.01	11.01	49.01	0	16.02	5.01	32.02	16.01	0	6.02	8.01	26.01	0	108.01	47.03	73.01	1.01
ENSMMUG00000016015	0	0	24.9665	79.8118	57.5347	50.1304	3.22267	107.522	245.01	140.01	0	0	2.62091	0	11.2664	178.519	0	0	0	10.01	162.163	130.01	0	11.5624	0	88.5334	0	354.966	0
ENSMMUG00000005397	1.01	0	0	0	0	1.01	12.01	19.01	0	0	0	0	3.01	0	26.02	0	175.02	0	3.01	0	140.15	0	0	0	0	0	0	18.01	0
ENSMMUG00000029018	0	0	0	0	0	0	7.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000010836	0	0	0	123.01	16.01	3.01	0	0	488.01	146.01	64.01	0	198.01	0	64.01	0	0	36.01	0	0	88.01	224.01	0	0	0	217.01	44.01	241.01	0
ENSMMUG00000001795	58.01	0	130.02	109.01	27.01	167.036	161.02	140.01	0	0	467.311	246.02	9.32973	0	70.01	0	35.01	231.02	88.02	275.01	22.01	167.01	1.01	182.01	341.01	0	166.02	306.03	170.01
ENSMMUG00000003821	0	0	31.01	3.01	0	1.01	0	0	149.01	0	30.01	50.01	0	0	0	44.01	0	0	0	0	0	0	0	15.01	28.01	0	0	74.01	0
ENSMMUG00000001561	16.01	46.01	49.01	76.01	47.01	9.01	188.131	145.278	12.01	15.01	106.01	91.2109	95.5575	39.01	130.01	36.01	140.01	108.01	38.2925	0	0	0	255.493	246.01	0	24.1835	64.01	127.01	160.617
ENSMMUG00000003711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000022203	12.01	0	136.01	41.01	0	6.01	0	0	0	34.0112	0	0	74.01	0	61.01	0	0	36.01	21.01	0	0	0	0	97.01	0	0	0	0	0
ENSMMUG00000029375	0	1.0134	2.01928	0	1.01469	0	1.01151	2.01663	0	0	0	0	0	2.01439	1.0119	0	0	2.01681	2.01555	0	0	0	2.01999	3.01946	0	0	2.01442	1.01342	1.01486
ENSMMUG00000005343	3.33817	0	1.01	10.4256	0	8.78572	1.85221	4.30286	15.1097	0	4.01	11.0827	0	0	0	0	0	4.13603	0	4.32585	0	0	0	0	0	0	0	0	0
ENSMMUG00000009375	7.01	0	0	0	0	0	0	0	0	0	0	5.01	22.01	0	8.01	0	0	1.01	0	0	0	0	0	47.01	77.01	0	0	0	0
ENSMMUG00000019876	43.02	0	159.03	0	28.0766	12.02	0	33.02	0	106.01	505.029	0	52.02	63.02	182.03	98.01	56.02	0	118.03	49.01	0	87.02	0	62.02	9.01171	0	103.02	257.03	0
ENSMMUG00000019201	0	0	0	4.01	0	0	0	0	0	0	0	0	11.9972	6.01	0	0	0	0	0	0	0	1.01	2.81301	0	1.01	14.7978	0	0	0
ENSMMUG00000011126	193.02	33.01	693.03	112.03	213.613	130.353	913.716	772.635	438.404	11.01	1108.79	1023	198.22	0	434.616	364.019	221.01	462.251	300.02	854.976	144.01	470.01	698.926	962.331	188.18	6.01	542.877	388.958	543.192
ENSMMUG00000011528	4.01	0	54.01	0	8.01	5.01	19.01	25.01	8.01423	0	27.01	94.0729	248.01	0	0	0	7.01	0	37.01	0	0	2.01	0	0	0	0	0	71.01	63.01
ENSMMUG00000008039	2.01	0	0	0	2.01	8.01	0	0	4.01	0	39.01	11.01	0	0	24.01	0	0	0	7.01	0	0	0	0	133.01	0	0	0	0	0
ENSMMUG00000007706	4.0497	2.02576	9.23753	19.2455	2.29693	21.9801	9.48755	34.1982	12.6781	15.79	16.3624	11.3103	9.29857	28.9772	32.818	37.5718	36.989	10.2694	1.05615	20.9374	15.573	30.3922	59.8036	42.4551	34.4423	16.7046	7.47835	48.6077	29.4143
ENSMMUG00000021447	2.09914	0	1.01342	6.10144	0	45.2838	7.01959	6.05458	8.02448	6.11155	0	3.02396	35.2826	17.6651	22.01	2.0203	9.04376	1.02276	0	37.6136	0	9.07428	4.02392	3.02329	7.29767	8.17371	0	217.283	132.445
ENSMMUG00000007428	50.0204	0	458.02	79.01	28.01	174.01	373.02	41.01	70.02	1.01	32.01	16.01	505.111	6.02	116.142	16.02	217.043	704.02	84.02	0	2.01	159.02	539.02	352.02	106.01	13.01	345.02	420.575	1132.02
