gene	21373_1_7	21373_1_22	21373_1_46	21373_1_73	21373_1_74	21373_1_99	21373_1_107	21373_1_114	21373_1_123	21373_1_124	21373_1_131	21373_1_137	21373_1_138	21373_1_153	21373_1_177	21373_1_178	21373_1_181	21373_1_188	21373_1_192	21373_1_195	21373_1_207	21373_1_208	21373_1_234	21373_1_275	21373_1_276	21373_1_295	21373_1_334	21373_1_341	21373_1_360	21373_1_365
ENSMUSG00000050538	0	0	0	1.07387	27.01	0	0	0	0	155.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01
ENSMUSG00000073771	0	0	21.3693	18.9275	52.9814	0	65.0399	0	0	0	1.04906	0	3.12334	37.01	0	32.8908	0	0	0	0	0	0	0	2.87283	0	0	0	0	0	0
ENSMUSG00000009628	0	0	0	0	0	0	0	0	0	0	0	24.0211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.01	0	0	0
ENSMUSG00000103178	0	0	0	0	0	0	0	0	0	15.2841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.3311	0	0	0	0	0	0
ENSMUSG00000063590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27638	0	0	0	0	0	0	0
ENSMUSG00000032179	0	0	0	0	0	0	0	0	0	0	0	0	3.42069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048450	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	162.059	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033228	90.2114	164.637	243.683	3.01	70.2821	59.01	89.0882	3.01	0	281.217	86.5013	437.035	0	56.01	504.01	109.058	0	890.345	8.01	30.0115	121.01	56.8039	391.01	0	324.395	140.01	0	82.01	308.024	41.964
ENSMUSG00000030830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033124	19.0434	29.0156	2.59563	1.17627	6.33933	44.01	0	0	2.04469	6.01575	1.20947	2.1584	4.11993	12.01	0	24.0242	2.01177	8.47397	1.57662	0	0	10.2188	0	13.0627	1.02391	2.87581	6.01092	2.01564	0	0
ENSMUSG00000032656	46.033	0	0	2.10535	0	0	0	0	0	0	7.15545	0	0	0	0	6.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000010721	0	0	0	0	1.01	0	1.01	0	0	0	0	5.02	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	1.01	0
ENSMUSG00000097239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.92813	0	0	0	0	0	0
ENSMUSG00000026241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126.01	3.01	0	0	0	0	0
ENSMUSG00000070733	0	0	0	0	0	63.1911	12.02	0	3.01	5.01	16.9942	1.01002	0	71.02	0	7.02	0	0	0	39.02	0	7.01	0	62.0422	1.01	0	0	53.0647	78.0762	14.01
ENSMUSG00000030621	1.01	0	290.088	4.26438	34.1737	2.73397	0	8.58446	1.01	8.01356	0	14.1331	11.2054	0	115.797	24.5006	0	0	0	1.03111	0	0	14.0016	45.166	19.7892	17.6821	17.01	2.01	0	2.01
ENSMUSG00000039108	0	0	0	3.01	0	0	0	0	12.0667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074794	0	72.01	189.295	0	0	0	0	0	0	0	0	87.01	0	0	0	1.01	0	0	369.443	0	0	0	0	744.198	0	24.01	0	0	75.01	1.01
ENSMUSG00000026468	0	0	5.35618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01	0	1.01	0
ENSMUSG00000039474	0	0	0	8.93831	1.01	0	0	0	0	187.079	0	0	0	0	0	37.352	0	1.01019	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090336	0	0	3.08186	4.03043	0	0	0	0	0	0	0	10.4076	0	0	0	0	0	77.5853	0	0	0	0	0	0	0	0	1.01	1.01	0	0
ENSMUSG00000044468	0	0	0	1.01346	0	0	0	0	0	0	0	16.1384	1.08048	0	19.1087	1.01	0	0	0	0	0	0	0	0	0	1.48991	0	0	0	0
ENSMUSG00000028567	0	112.01	0	0	63.01	58.01	19.7409	0	1.01	0	0	318.265	0	0	0	74.0171	0	0	38.01	0	115.01	12.34	0	1.01	0	0	1.01	13.01	64.01	73.01
ENSMUSG00000034889	0	0	0	0	0	3.01	0	0	0	2.01	0	40.01	0	0	0	42.0384	0	0	0	0	60.01	8.01527	350.01	0	0	0	0	17.01	0	0
ENSMUSG00000056724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035161	103.01	0	494.01	146.434	0	0	3.01	0	0	1.01	213.043	15.01	0	15.01	5.0506	1.01	1.01	0	0	43.01	0	3.01	14.01	101.706	458.587	62.2075	0	0	17.01	0
ENSMUSG00000031893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
