gene	21373_3_7	21373_3_8	21373_3_21	21373_3_31	21373_3_32	21373_3_50	21373_3_63	21373_3_64	21373_3_99	21373_3_113	21373_3_124	21373_3_131	21373_3_137	21373_3_138	21373_3_154	21373_3_158	21373_3_163	21373_3_167	21373_3_178	21373_3_188	21373_3_191	21373_3_192	21373_3_195	21373_3_208	21373_3_210	21373_3_219	21373_3_231	21373_3_233	21373_3_252	21373_3_275	21373_3_276	21373_3_295	21373_3_302	21373_3_310	21373_3_319	21373_3_326	21373_3_333	21373_3_341	21373_3_342	21373_3_360
ENSRNOG00000052990	0	19.0201	399.02	30.02	11.01	149.02	135.01	0	75.01	97.02	103.02	58.01	0	43.01	0	0	879.707	0	18.01	106.02	0	25.01	0	88.7435	224.01	1.01	203.01	0	1.01	108.01	0	1.01	0	34.01	0	0	355.598	0	13.01	0
ENSRNOG00000033693	0	0	0	0	0	40.8653	0	0	0	0	0	0	28.01	2.04693	0	0	0	0	0	2.7059	0	26.01	0	0	0	0	13.01	0	0	0	0	0	0	4.01	0	2.01	0	67.01	0	0
ENSRNOG00000020554	76.01	60.01	0	0	0	179.01	0	0	0	0	0	91.01	0	0	0	0	0	1.01	0	8.01	0	0	0	25.01	0	0	0	0	92.01	0	0	0	1.01	68.01	0	15.01	0	0	0	93.01
ENSRNOG00000018491	27.01	32.01	0	86.01	10.01	0	0	24.01	114.345	0	8.01	13.01	0	7.01	0	170.323	0	0	2.01	32.01	0	0	0	46.01	67.01	0	49.0594	0	0	172.527	12.01	1.01	0	44.01	0	11.01	2.01	0	30.01	7.01
ENSRNOG00000003767	0	0	0	66.01	78.01	228.01	176.756	100.01	0	6.01	0	80.01	20.01	0	109.01	50.01	126.052	0	0	4.01	0	0	0	152.01	188.088	0	0	0	0	76.01	42.0664	161.052	131.01	1.01	0	0	0	0	0	0
ENSRNOG00000019725	246.01	116.01	0	52.01	73.753	0	605.596	1.01	173.01	1.01	0	165.01	0	44.01	8.01	324.01	418.355	1.01	202.626	77.01	0	0	226.01	191.01	148.097	1.01	210.206	0	98.01	84.01	73.01	417.442	16.01	2.01	0	2.01	601.01	0	281.01	208.01
ENSRNOG00000036866	63.2003	75.01	0	139.197	47.01	0	2.01043	127.01	208.779	0	91.4616	25.0335	289.943	0	142.379	69.1326	195.166	0	28.01	16.01	0	161.01	4.01	0	0	0	203.083	0	0	217.217	15.01	998.474	3.03949	0	1.01065	56.01	0	0	0	1.01121
ENSRNOG00000000802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.01	0	0	0	0	0	0	3.01	0	0	0	0	0	0	0	0	0
ENSRNOG00000042432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.2765
ENSRNOG00000010447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000003120	0	0	0	1.01	1.01273	0	205.01	0	0	0	0	1593.02	2.01	0	0	0	0	0	0	0	0	0	7.01	0	0	0	378.02	0	0	153.02	0	0	1041.02	78.02	0	2.01	407.04	0	0	1.01
ENSRNOG00000020029	1.01	0	0	51.01	1.01	0	0	0	0	0	0	0	0	28.01	0	0	0	0	0	22.01	0	0	0	25.01	50.01	0	0	0	0	0	0	0	0	0	0	0	118.01	0	1.01	0
ENSRNOG00000011530	0	0	0	54.01	0	0	0	40.01	0	0	0	0	0	0	232.271	85.01	0	0	0	0	0	0	0	31.01	238.01	180.01	0	0	0	0	0	100.01	0	0	0	0	0	0	0	0
ENSRNOG00000010298	160.01	366.01	421.01	532.01	204.01	0	716.181	558.01	1445.01	1.01	197.01	53.01	184.01	120.01	510.01	385.01	1.01	229.01	85.01	20.01	1.01	1.01	0	372.01	460.01	222.01	40.4356	0	157.01	203.01	279.01	172.01	0	223.01	0	102.01	141.01	1.01	0	798.01
ENSRNOG00000010185	0	0	0	25.01	0	0	0	0	0	0	0	0	128.01	0	62.01	0	0	0	0	0	0	0	0	29.01	0	0	0	0	0	0	0	0	76.01	0	182.01	0	139.01	0	0	0
ENSRNOG00000033803	54.3128	26.2039	46.2285	31.8513	25.5524	33.3531	91.5568	26.9418	101.069	9.49314	17.2689	65.5062	24.3665	18.9583	50.8488	42.9326	57.6127	46.208	10.5069	14.9949	9.63948	9.15872	97.5357	36.738	28.3831	38.8134	45.9921	19.9727	51.4496	41.2835	11.075	84.9704	53.3505	19.7154	65.0088	5.67479	41.77	76.8108	75.0222	78.3572
ENSRNOG00000052157	0	0	0	0	0	0	0	79.01	0	195.01	0	0	0	0	0	54.01	0	37.0141	0	0	2.01	0	0	14.01	0	0	12.01	127.01	0	48.01	0	96.01	0	3.01	7.01	40.01	1.01	0	0	3.01
ENSRNOG00000060665	0	0	0	48.01	52.01	0	0	18.01	332.426	298.058	4.01	88.01	49.0227	52.01	0	17.01	2.01	0	39.01	12.01	0	0	0	110.02	60.0247	1.01	266.01	0	0	0	58.01	121.141	0	4.01	0	1.01	0	0	86.02	0
