gene	21373_3_7	21373_3_8	21373_3_21	21373_3_31	21373_3_32	21373_3_50	21373_3_63	21373_3_64	21373_3_99	21373_3_113	21373_3_124	21373_3_131	21373_3_137	21373_3_138	21373_3_154	21373_3_158	21373_3_163	21373_3_167	21373_3_178	21373_3_188	21373_3_191	21373_3_192	21373_3_195	21373_3_208	21373_3_210	21373_3_219	21373_3_231	21373_3_233	21373_3_252	21373_3_275	21373_3_276	21373_3_295	21373_3_302	21373_3_310	21373_3_319	21373_3_326	21373_3_333	21373_3_341	21373_3_342	21373_3_360
ENSRNOG00000028856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056248	15.0409	0	57.01	0	0	0	211.786	0	108.01	0	0	100.643	5.09989	0	0	0	125.875	0	0	0	0	0	0	67.01	0	199.01	75.0228	1.01	0	0	66.01	201.065	161.01	2.01	0	51.01	0	0	189.096	0
ENSRNOG00000017628	0	0	0	0	39.01	0	0	0	321.446	0	0	0	0	0	0	0	1.01	0	0	204.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.01	0
ENSRNOG00000036576	0	0	265.531	319.01	98.01	0	200.01	274.772	104.537	122.01	0	92.01	0	44.01	0	164.288	242.01	0	12.01	62.01	207.185	0	65.01	146.01	0	374.332	0	0	202.01	185.01	64.01	1.01	0	35.02	0	0	0	0	0	0
ENSRNOG00000012772	9170.03	702.99	915.01	563.01	232.01	537.656	4983.88	1194.49	2566.1	86.491	895.809	1154.32	761.185	768.84	1668.51	4517.42	2046.79	195.389	1295.79	557.819	3.01005	443.01	7771.35	1590.41	12614	433.468	986.434	5.01091	1496.83	6800.09	1111.01	1438.95	1467.63	556.01	140.856	337.788	3101.68	6732.42	4467.5	864.655
ENSRNOG00000019093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000042189	508.641	425.01	433.948	247.01	276.01	385.01	786.239	153.047	301.01	30.01	67.01	267.01	1003.01	0	358.321	745.01	7.01526	250.63	19.01	100.01	0	0	320.01	182.142	70.01	458.535	73.01	1.01001	790.01	597.019	185.01	956.028	479.425	110.01	4.01	8.01	150.01	671.01	341.195	143.01
ENSRNOG00000050729	14.01	0	0	0	0	0	0	0	0	0	0	29.01	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	33.01	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000028622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000010076	0	0	0	0	0	1.01166	2.01143	0	95.3163	1.04568	0	112.49	0	1.01	0	0	1.01156	15.6845	0	10.0193	0	15.01	0	1.01865	0	0	1.01362	1.01215	3.02671	1.0124	0	0	0	51.01	1.01091	0	1.03013	0	0	0
ENSRNOG00000030391	0	0	0	58.01	48.01	135.01	0	0	387.01	0	3.01	171.352	223.812	34.01	5.01	142.9	1.01	1.01	23.01	14.01	0	0	0	41.01	241.01	0	0	0	83.01	21.0275	0	0	0	33.01	1.01	33.01	2.01	0	11.01	334.913
ENSRNOG00000018282	247.01	162.01	207.01	109.01	33.3156	47.01	577.75	156.01	355.01	9.19271	0	774.552	560.544	105.01	287.01	467.01	5.01	0	50.01	0	0	1.01	90.01	231.882	86.101	307.255	535.01	1.01	287.01	689.436	27.01	448.01	813.682	123.01	434.024	110.386	898.099	1469.49	209.01	463.01
ENSRNOG00000054352	502.007	725.868	218.01	177.01	30.01	487.01	1013.39	356.01	1108.01	351.01	147.01	847.493	102.069	49.01	399.01	259.01	1552.51	0	337.929	120.01	1.01	0	775.01	341.679	1170.92	77.953	16.01	0	1176.01	903.322	387.01	307.159	924.01	318.01	70.5459	369.428	2139.78	1614.44	446.01	806.893
ENSRNOG00000003778	0	0	0	0	2.01	0	0	0	87.01	0	0	0	0	2.01	0	0	0	0	0	45.01	0	0	0	0	0	1.01	31.01	0	0	0	0	0	0	0	0	1.01	0	0	0	140.01
ENSRNOG00000006532	2678.11	2825.98	5093.67	2062.31	386.686	1407.17	2460.72	2058.96	2019.39	6825.64	716.909	599.493	8198.42	1061.97	3247.99	4647.3	6705.96	2407.29	578.833	975.642	10273.7	1943.82	4695.45	21199.8	2316.32	3822.07	4755.05	5468.83	6822.59	4203.48	880.08	9017.68	2962.45	841.893	3525.51	887.307	4490.26	8986.25	1075.76	1424.75
ENSRNOG00000027923	75.01	0	0	0	78.02	0	0	0	55.02	0	0	0	0	23.02	0	0	4.01	0	0	0	0	0	0	37.02	0	0	172.416	0	4.01	0	0	0	0	28.01	0	0	97.02	0	37.02	100.02
ENSRNOG00000008643	1.01	5.01	1.01	0	10.01	0	11.01	64.01	195.01	11.01	37.01	66.01	0	11.01	123.01	1.01	0	304.01	0	0	0	0	0	61.01	10.0191	0	139.01	1.01	0	5.01	92.01	179.01	0	0	0	0	0	312.01	0	0
ENSRNOG00000043143	0	74.01	117.01	1.01	0	0	0	0	55.01	0	0	47.01	0	0	0	0	0	1.01	15.01	51.01	0	0	0	79.01	58.01	87.01	0	0	1.01	0	3.01	0	0	0	0	23.01	4.01	0	63.01	0
ENSRNOG00000002579	0	0	1.01328	0	0	0	1.01275	5.3039	0	11.3497	0	0	0	0	0	0	0	0	0	4.01855	0	0	0	2.01836	944.004	0	222.875	11.9234	0	433.216	0	0	188.403	0	0	0	0	638.267	0	0
ENSRNOG00000029046	0	0	0	0	0	0	0	0	0	0	0	0	3.90622	0	4.99435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.574833
ENSRNOG00000058916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.01	0	0	0	9.01	0	0	0	0	0	0	0	0	193.01	134.235	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000004473	0	0	0	0	0	0	0	1.01	0	8.72259	0	0	0	0	7.13612	0	0	41.0089	0	0	0	0	0	0	2.26687	19.9543	32.752	0	0	0	0	0	0	0	0	0	0	0	0	1.7287
ENSRNOG00000015741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.5277	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	1.02917	0
ENSRNOG00000011771	238.149	138.01	373.01	544.01	37.01	66.01	596.01	273.01	544.01	13.6513	171.01	82.01	906.977	231.963	0	986.01	316.312	390.01	53.01	85.01	0	61.01	1243.01	293.01	490.01	189.01	516.977	1.01	137.029	884.01	136.01	766.986	269.01	217.01	226.01	280.554	0	472.01	93.01	468.01
ENSRNOG00000058249	129.01	207.01	1040.01	1502.63	366.275	766.42	1351.69	699.01	1071.01	0	318.01	405.634	3.01	10.01	141.01	319.01	2260.8	5.01	390.01	395.01	5.01	122.01	1806.71	568.239	1369.01	192.034	38.02	0	769.49	849.793	604.01	2940.34	641.01	408.01	0	167.528	275.01	1633.54	609.01	1052.01
ENSRNOG00000030796	0	0	0	13.1118	0	0	0	0	0	0	0	0	0	0	0	30.3777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000048838	0	0	0	41.01	1.01	0	27.01	0	0	0	4.01	0	0	22.1757	0	0	0	0	31.01	21.01	0	0	0	0	1.01	106.01	0	0	0	0	0	0	0	0	7.01	0	0	0	11.01	0
ENSRNOG00000025061	0	0	0	0	0	0	0	0	0	0	0	0	0	8.01	0	0	0	0	0	4.01	0	0	0	0	0	0	108.857	0	141.02	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001214	112.01	0	0	112.01	0	133.01	0	0	130.01	1.01	0	54.01	0	59.01	11.01	0	0	0	0	31.01	0	0	46.01	22.01	1.01	0	0	0	0	98.01	63.01	0	0	66.01	2.01	0	0	2.01	0	151.01
ENSRNOG00000013287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000017231	0	84.01	0	0	13.0117	0	100.01	0	219.01	2.01	0	69.01	0	0	0	125.01	0	2.01	0	0	0	0	235.01	0	0	164.01	0	0	9.01	0	38.01	132.01	0	1.01016	0	0	0	338.01	1.01	0
ENSRNOG00000009722	0	0	0	0	0	0	0	67.01	105.01	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	211.01	0	0	0	0	0	0	0
ENSRNOG00000049446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.661724	41.5557	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000004109	0	0	0	0	0	0	0	0	0	0	0	0	11.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014727	0	0	273.359	0	18.01	0	0	72.01	265.01	17.01	0	0	0	24.01	0	172.34	0	0	26.01	0	0	118.123	1.01	29.0716	0	0	65.0785	814.008	0	103.01	0	0	0	0	0	0	1.01	0	0	0
ENSRNOG00000009331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.01	0	0	0	0	0	0	0	0	0
ENSRNOG00000020196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.01	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000029737	0	1.01338	0	1.01292	0	1.01	0	0	0	0	0	1.01111	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	1.01092	0	0	1.01357	0	0	0	0	0	0	0	0	1.01328	0
ENSRNOG00000028841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34249	0	0	0	0	0	0	0	2.98283	0	0	0	0	0	1.37582	0	0	0	0	0	0	0	0
ENSRNOG00000007673	71.02	47.01	229.02	185.02	14.01	3.01	257.02	170.02	391.01	88.0534	138.02	78.01	372.01	99.7752	293.523	156.172	81.01	0	51.02	36.01	225.01	14.0433	141.02	99.02	327.304	234.02	112.01	70.02	261.154	251.02	71.02	821.697	104.01	48.02	158.071	76.02	207.01	305.02	78.02	180.02
ENSRNOG00000024345	0	0	77.1273	0	27.01	0	161.01	0	0	0	124.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.053	0	0	1.01	0	0	0	0
ENSRNOG00000057945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000015333	0	0	0	0	0	0	0	0	0	4.45251	0	0	2.07662	0	0	0	0	0	0	0	4.36221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000051621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000005689	0	0	0	110.01	0	11.0533	0	0	1.01	2.07099	0	77.01	0	28.01	138.01	106.041	0	0	0	26.01	0	0	1.01	63.01	242.676	0	0	0	45.01	192.231	45.01	0	0	34.01	302.68	0	0	370.253	0	115.01
ENSRNOG00000048205	105.01	0	0	0	36.0737	0	288.676	74.01	0	0	42.01	0	283.931	0	9.01	0	0	0	32.01	0	0	12.01	1.01	35.01	362.01	95.01	259.01	0	126.01	107.01	29.01	0	0	0	5.01	15.01	0	0	47.01	156.02
ENSRNOG00000045837	0	11.7091	0	10.8444	4.01	0	38.5595	0	22.857	0	0	0	0	0	8.61585	0	35.8998	0	0	3.48478	0	0	0	0	0	0	0	0	26.7411	8.46056	0	0	0	6.52231	0	0	0	0	12.6245	0
ENSRNOG00000003694	3.01	0	0	0	0	0	0	0	0	0	0	1.01	0	0	2.01051	0	0	0	0	0	0	0	0	3.01	0	0	3.01695	6.13903	1.01	0	0	0	2.01169	0	0	0	0	0	0	0
ENSRNOG00000008173	1.01	0	0	0	0	163.01	1.01	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	3.01	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000021005	64.01	23.01	0	37.01	60.01	6.05109	63.01	66.2049	87.01	0	0	60.1402	0	0	4.33693	0	264.01	0	0	21.01	0	0	0	71.1908	74.01	135.228	56.01	0	49.01	1.01	32.1729	0	127.01	12.01	168.01	0	0	922.399	94.861	0
ENSRNOG00000018677	94.5724	0	0	0	0	122.01	139.01	0	149.01	0	42.01	193.503	176.01	0	0	0	0	0	50.6416	0	0	0	7.01	7.01	0	0	0	380.01	0	2.01	1.01	0	0	25.01	0	0	0	0	74.01	82.01
ENSRNOG00000028302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000019355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000013017	0	0	0	0	0	0	0	0	0	0	59.01	0	0	0	0	0	0	0	0	0	0	0	0	0	19.01	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	35.01
ENSRNOG00000008082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.78445	0	0	0	0	0	0	0	0	0	4.32219	0	0	0	0	0	0	0	0	0	0	1.44347	0
ENSRNOG00000003872	0	0	0	0	0	56.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.01	0	0	0	0	0
ENSRNOG00000010721	0	0	0	0	0	0	0	0	0	19.01	477.42	0	1.01	0	0	181.201	445.01	66.01	146.01	123.01	0	24.01	839.398	331.268	0	0	20.0202	0	0	54.01	0	80.01	0	0	0	0	0	0	0	289.01
ENSRNOG00000024256	0	0	0	0	0	0	0	0	0	47.2766	0	0	1.12867	0	0	0	0	0	0	0	0	0	0	1.22841	0	0	0	0	0	0	0	32.2322	0	0	0	0	0	0	0	0
ENSRNOG00000017781	94.02	0	338.02	31.02	38.02	212.416	44.0466	91.02	102.02	0	96.02	100.01	1.01	47.02	0	171.01	80.01	0	19.02	14.01	331.122	0	200.01	206.02	27.041	323.284	92.4553	224.209	192.424	380.02	0	272.02	336.301	0	0	1.01	0	0	56.02	0
ENSRNOG00000018553	0	97.01	0	0	0	0	0	0	120.01	897.981	16.01	0	160.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.01	0	1.01743	245.01	0	0
ENSRNOG00000049203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.01	0	0	0	0	0	0	0	0	218.01
ENSRNOG00000014076	11.02	230.02	96.02	81.02	6.02	55.7965	186.02	59.02	29.0473	0	28.02	129.02	119.02	0	176.02	147.02	66.02	62.01	14.02	28.02	151.01	0	215.02	36.02	5.01	24.01	92.4813	0	0	55.01	11.01	19.02	241.02	48.02	0	0	264.334	501.3	28.02	75.02
ENSRNOG00000045943	0	59.01	0	0	0	0	0	10.01	0	0	28.01	0	0	0	0	0	0	0	0	0	0	0	0	0	19.01	0	0	0	0	0	72.01	0	85.01	0	1.01	0	0	0	0	0
ENSRNOG00000055942	0	0	0	0.521262	0	0	0	0	0	0	0	1.67633	0	0	0	0	0	0	0	0	0	0	0.525962	0	0.519402	0	0	0	0	0.524664	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000003095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.01	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001738	92.1226	173.01	2.01	119.35	39.4415	113.053	68.8231	44.8057	376.732	0	119.602	69.8779	20.01	4.03841	105.981	4.0018	29.338	517.143	33.01	122.758	25.01	2.01224	3.01	283.036	0	0	532.305	0	108.617	340.298	64.01	223.02	0	137.01	61.51	22.0868	0	0	40.909	16.7476
ENSRNOG00000001236	0	0	0	0	0	1.01	0	0	88.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.01	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000037214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.80988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053827	0	0	0	0	5.01	0	0	0	0	0	0	9.01	0	0	0	0	0	0	0	0	0	0	0	1.01	1.01	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0
ENSRNOG00000005203	112.003	19.01	4.44717	83.01	43.01	47.01	197.196	19.01	152.932	39.5891	55.9427	38.7134	0	18.01	13.01	51.01	193.951	321.013	52.01	37.6253	80.01	18.3453	128.936	24.01	36.01	22.01	171.629	0	22.2234	119.01	41.01	87.3875	93.01	36.01	69.01	50.01	75.01	58.01	78.6815	195.987
ENSRNOG00000043192	1.01	0	0	0	11.01	0	218.01	29.01	93.01	1.01	19.01	60.01	176.01	11.01	0	132.01	153.319	0	0	28.01	0	0	121.01	55.2763	80.01	106.01	140.01	1.01	0	1.01	90.01	80.01	0	0	0	0	0	0	0	0
ENSRNOG00000005650	102.01	0	130.01	0	0	0	0	0	0	0	2.01	109.01	0	0	182.01	144.01	0	0	0	0	0	0	1.01	286.01	0	0	0	0	0	162.01	0	0	0	0	0	0	0	0	1.01	0
ENSRNOG00000004425	0	0	0	5.01	0	0	0	69.01	51.01	0	0	0	0	0	0	0	0	0	0	28.01	0	0	0	0	111.02	0	0	0	0	0	2.01	0	0	0	0	0	0	0	0	0
ENSRNOG00000017531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000019132	0	0	202.01	257.836	0	0	0	0	106.01	0	37.01	0	0	65.7935	0	1.01	449.01	0	0	25.01	0	0	0	82.01	0	337.01	0	0	146.01	186.168	0	609.01	0	0	0	0	0	0	0	0
ENSRNOG00000000839	0	0	0	29.02	0	0	0	49.01	71.01	0	25.1455	0	0	16.01	0	5.01	0	0	0	0	0	64.01	0	76.02	0	0	0	0	0	0	0	0	0	0	0	0	221.02	0	0	0
ENSRNOG00000004763	0	4.31485	4.56476	0	17.5229	0	300.518	0	138.98	0	0	0	23.0457	16.0261	0	4.56276	68.1276	0	1.01	0	0	0	0	2.01	15.0539	68.6618	11.1425	2.03866	34.067	0	0	1.01301	90.396	70.1597	1.01396	0	0	0	5.01929	16.1464
ENSRNOG00000036647	0	0	3.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000002713	0	0	0	0	0	0	0	124.01	298.01	1.01	0	0	0	2.01	0	174.01	0	705.01	24.01	0	0	0	0	158.01	120.01	0	747.608	0	275.01	4.01	0	0	1.01	0	240.01	0	0	0	0	0
ENSRNOG00000006699	7.52724	7.01	3.01366	9.0156	0	7.01	0	2.01	0	18.2169	0	1.01	231.079	4.01	0	6.01	14.8439	3.01	0	0	75.1008	10.01	17.1462	106.234	4.08832	0	10.1103	2.02534	20.0219	7.02995	2.02305	11.3593	0	12.0301	1.01	1.06335	29.743	14.1809	3.07576	0
ENSRNOG00000017254	310.055	84.02	0	162.02	54.02	178.241	225.02	265.02	230.02	1.01	36.01	109.02	218.019	255.02	364.114	2.01	390.02	1.01	41.02	127.081	0	0	756.119	242.11	344.076	98.01	21.8257	0	313.01	145.02	213.02	1367.17	523.02	48.3519	563.02	213.02	1.01	8.01	1.01	633.194
ENSRNOG00000060597	294.01	150.01	269.592	45.01	107.01	139.01	174.01	360.517	139.01	0	23.01	313.01	98.01	230.205	1.01	156.01	0	0	20.01	113.401	256.01	0	0	287.01	251.283	41.01	63.574	192.01	211.01	180.01	123.01	213.01	240.283	72.4541	0	29.0371	26.0515	1.01	277.01	176.01
ENSRNOG00000003724	234.01	100.01	285.01	372.591	60.01	48.01	324.631	96.01	329.211	0	124.01	178.01	237.528	43.01	90.01	250.701	377.01	1.01	72.6842	47.01	0	1.01	0	59.01	89.2887	161.01	200.106	0	304.01	225.303	138.668	195.358	0	39.01	117.01	33.01	190.01	583.572	276.735	362.01
ENSRNOG00000004604	82.01	11.01	91.01	0	111.01	0	296.01	90.01	5.01	0	0	294.01	1.01	0	0	251.01	43.01	0	15.01	28.01	0	0	0	1.01	337.341	57.01	0	0	30.01	109.01	0	3.01	152.01	29.01	58.01	0	170.01	0	0	513.01
ENSRNOG00000016585	0	27.01	0	110.01	10.01	0	0	40.01	0	0	10.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.01	127.01	0	32.01	1.01	0	0	0	0	0
ENSRNOG00000059202	0	0	0	0	0	116.02	83.01	0	160.063	0	0	0	208.146	0	145.02	0	326.02	0	0	59.2211	0	0	213.01	117.02	144.02	12.02	148.02	0	0	106.02	49.02	421.987	198.01	20.02	0	0	0	0	89.02	112.02
ENSRNOG00000002054	0	86.02	137.02	59.02	45.02	97.02	170.02	150.02	78.01	0	6.01	100.01	75.01	33.02	246.02	145.02	0	0	0	80.2149	0	0	260.02	157.02	317.99	203.02	0	0	294.01	55.01	56.02	267.02	0	0	236.02	0	2.01	0	128.02	252.297
ENSRNOG00000008482	353.02	645.657	680.02	633.02	217.02	79.0219	1232.02	422.02	783.02	1.01	229.02	273.02	2882.76	167.02	342.02	113.01	307.02	1047.02	122.02	104.02	411.019	100.01	3.01	327.02	1777.99	220.02	893.284	14.01	230.02	833.02	316.02	1074.02	408.986	436.774	0	0	2073.73	2306.02	130.02	693.02
ENSRNOG00000040287	79.01	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	45.01	0	0	0	0	0	0	0	0	1.01	0
ENSRNOG00000055568	0	0	1.04917	1.06027	0	0	1.07929	0	2.15665	0	1.09214	2.19584	0	0	0	0	1.07467	0	0	0	1.1044	0	0	0	1.05766	0	0	0	0	1.05967	0	7.74531	2.21217	0	0	0	0	0	0	0
ENSRNOG00000016952	326.891	258.01	315.01	257.498	160.706	303.01	393.047	176.483	82.8314	176.898	129.829	469.681	120.608	11.01	204.815	202.01	569.471	0	70.01	120.796	126.01	59.01	905.662	133.545	245.688	91.01	416.745	137.762	193.638	314.124	87.0011	359.588	207.665	149.01	70.01	127.01	337.049	481.583	393.763	523.444
ENSRNOG00000006779	170.01	0	0	0	37.01	31.01	225.332	0	133.102	0	5.01	83.01	26.01	42.01	204.01	134.01	0	0	22.01	0	31.01	0	503.01	61.01	162.01	0	28.01	1.01	5.01	414.01	17.01	0	201.01	106.02	0	4.01	405.149	0	88.01	160.162
ENSRNOG00000022707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000038761	82.01	0	114.01	225.01	23.01	0	60.01	57.01	44.01	23.01	0	202.01	140.01	7.01	163.01	133.507	0	0	44.01	26.01	0	0	0	49.01	62.01	0	0	0	0	177.01	1.01	141.01	0	112.01	0	8.01	203.808	321.01	31.01	168.01
ENSRNOG00000008628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000017511	0	0	0	0	0	0	1.01302	0	0	8.04138	1.01492	0	4.68738	0	0	0	0	1.21646	0	0	0	0	1.04345	0	0	1.01095	1.02541	1.22028	0	0	0	2.02041	1.02603	0	7.53531	0	0	0	0	0
ENSRNOG00000016292	0	3.29035	1.3019	3.33898	0	0	2.1627	0	0	0	0	2.11365	0	0	0	0	4.26718	0	0	0	0	0	0	0	0	0	0	0	2.4559	1.08078	0	1.10458	3.05071	0	0	1.17545	0	2.08974	2.01	2.06219
ENSRNOG00000011799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000004773	55.01	0	60.01	1.01	30.01	0	0	0	69.01	0	0	1.01	209.457	76.01	0	185.01	0	0	43.01	44.166	5.01	0	409.35	138.089	127.01	0	0	0	310.01	220.561	77.01	25.01	404.01	23.01	23.01	37.1674	162.01	1.01	44.01	118.01
ENSRNOG00000021160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000021793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000029922	0	86.0849	0	22.8093	0	0	133.01	0	0	1.0191	0	47.01	1.01	19.01	0	0	2.03049	0	24.01	0	0	1.01	2.01	54.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000027290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000032797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001387	0	40.01	0	0	63.3433	0	1.08899	0	0	135.01	27.01	0	8.01	0	0	0	0	2.01	0	8.01	0	0	0	40.8543	0	0	0	0	0	181.01	0	1.01	0	0	6.01	0	0	0	26.01	0
ENSRNOG00000050493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000037478	0	0	205.01	152.01	52.01	0	0	139.01	5.01	0	0	0	0	0	0	0	391.507	0	27.01	0	0	0	0	0	0	0	230.01	0	0	0	64.01	0	0	1.01	19.01	74.01	0	0	102.01	0
ENSRNOG00000020032	0	0	0	32.01	105.01	0	0	0	100.088	0	0	24.01	0	26.01	0	0	0	0	0	32.01	0	0	0	77.01	0	192.01	0	0	42.01	9.01	0	0	0	0	2.01	0	0	189.082	0	0
ENSRNOG00000050172	0	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001061	60.01	0	0	65.01	19.01	98.01	0	7.01	0	1.01	35.01	0	0	0	125.01	0	0	0	0	19.01	0	0	0	35.01	0	0	0	0	114.01	222.01	0	0	166.01	0	0	32.01	0	0	128.01	1.01
ENSRNOG00000046915	8.24314	14.0285	0	0	1.01646	0	3.02633	0	21.1086	19.4761	0	0	1.01587	2.06536	11.01	2.28892	60.7532	49.3662	0	0	38.5633	26.5017	3.31229	3.0375	2.89768	27.7965	35.6028	22.7369	0	2.02834	0	0	0	0	0	0	31.1001	53.1789	0	0
ENSRNOG00000059016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
