gene	21373_3_39	21373_3_72	21373_3_77	21373_3_78	21373_3_91	21373_3_92	21373_3_96	21373_3_104	21373_3_109	21373_3_110	21373_3_117	21373_3_128	21373_3_133	21373_3_142	21373_3_155	21373_3_156	21373_3_179	21373_3_205	21373_3_229	21373_3_230	21373_3_242	21373_3_259	21373_3_260	21373_3_266	21373_3_291	21373_3_292	21373_3_298	21373_3_305	21373_3_315	21373_3_316	21373_3_322	21373_3_330	21373_3_372
ENSRNOG00000028856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056248	0	37.01	0	0	71.01	0	7.25194	0	75.01	38.01	0	0	35.2787	0	0	0	117.01	0	150.042	0	33.01	0	0	0	0	0	0	0	159.01	0	0	0	0
ENSRNOG00000017628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202.01	0	0	0	0	0	283.01	1.01	872.779	10.1323	0	0	242.01	0	1.01	0	1.01	1.01	0
ENSRNOG00000036576	164.01	0	0	19.01	286.226	43.01	122.01	119.01	31.01	0	122.01	33.01	0	0	450.01	0	0	0	192.445	27.01	0	0	126.01	11.01	195.23	152.01	2.01	60.01	0	0	42.01	78.01	0
ENSRNOG00000012772	1528.58	2567.68	7281.11	1173.97	8627.53	251.685	2864.95	9017.32	1344.78	1412.74	11293.8	1317.72	10741.7	1608.91	6852.47	3516.26	2837.4	5242.62	8702.25	1274.82	4713.61	9334.52	4555.7	3678.96	2583.63	6796.68	6592.72	259.199	6734.73	899.778	748.01	635.756	3741.75
ENSRNOG00000019093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000042189	727.628	492.01	614.673	259.01	915.842	158.01	249.01	1042.44	244.01	1007.47	2.01	135.01	481.01	288.01	645.01	721.018	540.779	1048.35	1800.78	285.01	48.01	1379.4	21.01	103.01	140.01	825.74	814.01	1891.9	6.01	35.01	154.01	76.01	178.01
ENSRNOG00000050729	0	0	0	0	50.01	0	0	0	53.01	0	0	0	0	43.01	0	0	0	0	0	21.01	0	0	0	0	0	42.9805	0	0	0	0	14.01	0	0
ENSRNOG00000028622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000010076	0	0	0	0	0	0	0	0	0	0	0	5.01	0	0	0	0	0	0	0	0	0	194.785	49.2579	0	0	0	163.722	4.97529	76.5572	0	42.0562	0	0
ENSRNOG00000030391	253.928	0	0	0	169.01	1.01	41.01	57.0791	0	149.192	393.302	19.01	96.01	0	155.18	106.01	101.01	172.01	206.175	67.01	180.953	326.01	0	77.01	376.01	0	146.08	93.01	104.01	31.01	37.01	32.01	49.01
ENSRNOG00000018282	821.532	147.01	811.01	103.01	739.307	98.01	98.01	532.907	574.061	338.01	435.353	114.01	710.01	198.506	607.555	327.429	558.426	737.45	650.11	0	276.01	846.01	348.01	61.01	135.01	301.328	248.01	1.01	327.01	288.01	230.01	226.01	43.01
ENSRNOG00000054352	2224.7	617.01	1267.55	348.01	893.01	128.814	53.01	574.01	361.01	1082.2	517.01	181.01	435.406	440.01	749.01	545.01	806.01	1975.01	740.398	132.01	420.01	264.01	186.01	253.01	708.01	986.01	882.01	1445.42	573.91	213.01	220.01	125.01	519.01
ENSRNOG00000003778	56.0772	0	104.01	0	0	20.01	0	0	1.01	192.01	0	6.01	0	0	0	0	0	0	0	0	85.01	0	0	0	0	0	0	0	1.01	23.01	50.01	51.01	0
ENSRNOG00000006532	1525.69	1408.2	1930.44	976.712	1866.31	685.853	1230.01	7783.47	894.477	1103.72	2782.33	864.57	746.141	842.53	5120.4	1711.5	3702.08	2290.48	3789.12	1074.47	601.587	4822.85	1745.01	610.84	12561.4	2353.48	2210.73	22410.7	2993.34	214.629	1104.68	1139.67	591.848
ENSRNOG00000027923	0	0	128.529	0	0	0	0	0	0	10.01	0	0	0	0	112.02	0	0	86.7894	0	0	0	6.02	0	25.02	0	0	0	459.14	0	0	0	0	0
ENSRNOG00000008643	0	0	0	0	74.1054	25.01	0	0	0	0	192.01	20.01	36.01	0	67.01	0	0	0	0	51.01	61.01	6.01	0	2.01	117.01	165.01	75.01	298.01	2.01	0	1.01	0	1.01
ENSRNOG00000043143	376.01	0	0	0	0	16.01	15.01	183.01	0	34.01	0	12.01	56.01	0	7.01	0	0	266.01	73.01	29.01	111.01	120.01	64.01	17.01	115.02	95.01	0	115.01	162.01	1.01	45.01	61.01	0
ENSRNOG00000002579	294.165	89.01	807.711	0	147.978	0	0	0	0	0	0	0	7.84875	1.19092	1.31771	0	0	448.996	0	0	1.09686	263.905	0	1.11715	0	0	1.36117	0	0	0	0	0	0
ENSRNOG00000029046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058916	0	0	0	5.01	0	0	0	0	0	0	0	20.01	0	0	0	0	0	0	0	0	0	0	0	6.01	0	0	0	203.01	0	0	0	0	0
ENSRNOG00000004473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000015741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000011771	905.01	322.418	520.01	3.01	112.01	145.01	168.54	335.01	91.01	18.01	1.01	123.01	172.01	218.01	193.01	409.729	154.01	0	514.01	53.01	30.01	392.01	83.01	60.8396	194.162	374.01	217.01	8526.42	90.01	98.01	252.01	64.01	71.01
ENSRNOG00000058249	2185.01	1443.84	2972.01	345.01	3148.83	178.01	268.007	1201.67	234.271	741.588	2765.31	416.01	950.336	367.01	898.01	1657.41	1593.68	2222.1	1247.39	112.01	1568.01	2838.01	1750.57	417.01	2129.76	1809.66	3519.41	551.921	1537.76	316.71	671.78	447.318	305.01
ENSRNOG00000030796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.01	0	0	0	0	0	0	0
ENSRNOG00000048838	0	0	0	0	0	70.01	0	184.01	0	0	59.01	0	22.01	0	72.01	0	0	0	0	44.01	0	0	32.01	14.01	0	105.01	0	0	0	0	0	43.01	0
ENSRNOG00000025061	0	0	0	0	0	0	20.02	0	0	0	0	0	0	0	70.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001214	635.01	0	20.01	1.01	0	27.01	48.01	96.01	144.01	0	81.01	23.01	13.01	0	210.01	109.01	277.966	167.101	573.01	38.01	105.01	0	0	111.01	0	145.01	246.01	0	15.01	106.01	117.257	194.01	114.01
ENSRNOG00000013287	0	0	0	0	0	21.01	0	0	0	0	0	0	0	0	0	0	0	0	0	37.01	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000017231	11.01	0	174.01	0	93.01	61.01	23.01	58.01	0	139.01	108.01	18.5627	42.01	53.01	225.027	312.01	59.01	325.01	136.01	88.01	120.01	0	20.01	26.01	0	106.01	208.01	162.01	1.01	191.01	81.01	0	0
ENSRNOG00000009722	0	0	0	17.01	0	0	0	131.01	0	0	0	0	0	0	188.187	0	0	0	0	0	0	0	69.6992	8.01	0	0	0	0	0	0	24.01	0	0
ENSRNOG00000049446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137.01	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000004109	5.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014727	54.01	93.01	376.01	23.01	0	0	26.2207	0	0	0	177.01	34.01	1.02093	0	112.01	1.01	325.01	294.285	1.01	26.01	69.01	0	0	15.01	84.1376	0	60.5224	144.01	1.01	63.01	5.49422	0	33.01
ENSRNOG00000009331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000020196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000029737	1.01324	0	0	0	0	0	0	0	0	1.01329	2.01733	0	0	0	1.01144	0	0	0	1.01125	0	1.01149	0	0	0	1.013	0	0	0	0	0	0	0	0
ENSRNOG00000028841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000007673	426.036	143.01	13.01	35.01	182.02	60.02	11.01	248.02	42.043	51.0306	371.091	41.02	92.02	57.01	171.02	0	239.01	153.02	94.02	0	27.01	211.02	13.01	42.02	689.349	46.01	102.975	1252.49	130.01	12.01	47.02	0	27.02
ENSRNOG00000024345	0	0	75.01	0	0	0	0	0	0	2.01	0	5.01	0	0	0	0	0	0	80.01	0	0	0	0	0	0	0	0	196.01	0	0	6.01	0	0
ENSRNOG00000057945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	0	0	0	0	0	43.01	0	0	0	0	4.01	0	0	0
ENSRNOG00000015333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03051	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000051621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000005689	0	0	0	36.01	0	37.01	13.01	91.01	0	0	1.01	17.01	0	0	0	0	0	1.01	0	75.01	0	0	96.01	10.01	97.1699	59.1883	55.01	556.017	132.01	0	20.01	27.01	0
ENSRNOG00000048205	125.01	136.01	0	40.01	197.01	32.01	0	0	0	156.101	0	4.01	120.01	0	0	106.01	0	35.01	271.109	27.01	46.01	27.02	0	27.01	108.01	113.01	169.01	13.01	0	23.01	89.01	0	0
ENSRNOG00000045837	2.0098	0	1.97305	0	40.2026	5.11596	2.04243	0	14.1794	7.62587	55.8294	4.01	0	0	0	17.9921	11.6216	48.6077	20.2679	2.74619	0	0	0	7.5271	30.0126	0	0	0	0	0	8.3666	0	0
ENSRNOG00000003694	0	0	0	0	0	0	0	0	0	1.18819	0	0	0	0	1.01	0	0	1.01	2.01	0	0	0	0	1.01	0	0	0	0	1.01	0	0	0	0
ENSRNOG00000008173	0	1.01	0	6.01	0	0	0	100.01	0	0	0	0	1.01	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0
ENSRNOG00000021005	255.01	0	0	14.01	0	17.01	0	0	57.01	29.01	113.01	38.01	49.01	0	111.239	0	160.01	212.01	0	0	0	233.898	56.01	13.01	56.01	0	55.01	128.01	83.01	16.01	15.01	26.01	43.01
ENSRNOG00000018677	103.01	31.01	0	0	35.1861	0	0	0	23.01	28.01	0	20.01	8.01	0	0	0	107.01	39.01	62.01	0	18.01	0	0	22.01	70.01	0	0	0	68.01	29.01	0	0	42.01
ENSRNOG00000028302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000019355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000013017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.01	0	0	0	0	93.01	0	0	0	0
ENSRNOG00000008082	1.01054	0	0	0	0	0	0	1.27674	0	0	0	0	1.94221	0	0	0	0	0	0	0	0	0	0	1.17566	0	0	0	0	0	0	0	0	0
ENSRNOG00000003872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000010721	0	0	0	39.1212	125.01	6.01	114.01	377.01	57.01	0	268.01	115.01	17.01	0	0	0	0	0	132.01	0	0	569.01	0	68.01	142.01	147.01	106.01	0	158.01	32.01	0	188.01	0
ENSRNOG00000024256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.9202	0	0	0	0	0
ENSRNOG00000017781	189.019	100.02	288.264	0	0	0	34.02	225.02	106.02	97.02	0	39.1134	134.02	89.02	0	0	371.02	78.02	285.02	80.02	82.01	1.01	280.02	46.02	215.02	1.01	372.02	569.02	155.02	34.02	30.02	42.02	27.01
ENSRNOG00000018553	0	0	0	0	0	0	0	0	0	0	0	0	60.01	0	0	0	0	0	0	0	0	0	138.01	0	0	0	0	0	0	0	2.01	83.9982	0
ENSRNOG00000049203	0	0	0	0	0	0	0	0	44.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014076	180.02	15.02	0	27.02	71.02	10.02	22.02	189.02	50.02	46.1941	0	33.02	44.02	0	134.032	89.02	160.02	106.02	89.02	10.02	111.02	58.02	82.02	3.02	100.104	0	213.02	256.02	57.02	19.02	20.02	22.02	14.02
ENSRNOG00000045943	111.01	0	207.01	0	0	0	0	102.01	0	0	0	2.01	0	0	0	167.01	0	0	0	40.01	0	0	0	0	0	0	0	0	97.01	0	0	0	7.01
ENSRNOG00000055942	0	0	0	0	0	0	0	0	0	0	0.52318	0.522508	0.522705	0	0.521795	1.04162	0	0	0	0	0	0.523659	0	0	1.05648	0	0	0	0.522401	0	0	0	0
ENSRNOG00000003095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.01	0	0
ENSRNOG00000001738	59.5789	0	197.198	49.1387	165.01	11.2123	0	18.01	5.45305	13.8355	10.0135	180.02	30.8787	0	1.01	41.7221	39.0066	165.689	0	12.01	120.885	225.334	394.01	31.01	203.01	416.01	162.072	722.734	139.264	4.12252	15.3495	0	32.5619
ENSRNOG00000001236	0	0	0	6.01	0	0	0	0	0	0	0	0	0	0	25.01	0	231.01	0	0	0	0	0	0	0	71.01	0	9.01	276.01	0	0	0	0	0
ENSRNOG00000037214	0	0	0	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053827	0	0	0	0	0	0	0	2.01	0	24.01	0	0	0	0	0	0	2.01	0	0	0	0	16.01	0	0	0	0	0	0	0	0	0	1.01	0
ENSRNOG00000005203	92.01	82.01	183.707	53.7537	193.449	31.01	32.01	115.003	54.4354	10.4571	123.141	42.01	131.009	43.01	148.01	99.01	165.692	293.798	75.4974	49.01	66.01	183.549	153.78	50.01	291.872	119.655	169.707	218.872	262.01	26.01	74.01	31.01	50.01
ENSRNOG00000043192	170.524	0	85.2778	15.01	139.01	65.01	17.01	0	73.01	49.01	0	22.01	67.01	0	36.01	0	118.01	134.331	74.2449	33.01	113.01	96.6208	40.01	16.01	57.01	7.01	103.01	188.01	103.01	0	31.01	19.01	0
ENSRNOG00000005650	0	0	0	0	0	0	0	0	0	0	0	0	145.01	0	2.01	322.01	0	0	0	0	0	0	0	16.01	0	0	0	0	198.01	223.01	0	134.01	0
ENSRNOG00000004425	0	0	0	0	0	0	0	1.01	0	0	0	0	0	4.01	0	0	1.01	0	125.02	0	0	0	0	0	0	0	0	0	16.01	0	1.01	0	0
ENSRNOG00000017531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000019132	0	0	0	0	0	0	0	150.01	77.01	0	0	10.01	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	1.01	0	0	1.01	0
ENSRNOG00000000839	0	0	0	0	0	0	0	0	0	43.01	0	0	0	1.01	137.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000004763	5.02391	0	7.01	3.01	0	2.01	1.01	0	1.01	2.01	2.01	20.01	0	1.01	1.01575	35.01	3.01175	263.422	198.511	0	1.01	201.85	1.01123	29.01	0	30.1358	108.214	283.01	0	0	5.62201	2.01	0
ENSRNOG00000036647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000002713	0	0	264.641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.01	0	0	0	595.01	140.01	0	0	0	1.01
ENSRNOG00000006699	8.01	0	14.5406	0	2.01	0	0	4.01	7.01	1.047	1.01	2.01	6.47974	0	22.01	0	109.01	120.121	3.01	5.01	165.01	3.01	2.01	3.02145	0	13.0587	48.0928	20.0597	5.19913	0	2.01232	3.01	3.01
ENSRNOG00000017254	216.02	22.01	0	36.02	85.02	49.02	138.02	151.02	0	146.02	134.488	10.01	0	278.02	443.02	0	913.02	0	50.01	1.01	122.02	501.02	101.02	319.02	363.094	298.02	104.209	309.02	186.02	14.02	126.073	60.02	40.02
ENSRNOG00000060597	234.01	83.2698	105.01	54.01	35.01	31.01	76.01	228.01	98.3291	328.01	184.01	89.01	111.01	81.01	102.01	19.01	112.01	607.01	53.01	223.01	14.01	0	9.01	42.01	239.01	281.01	175.01	1520.02	78.01	38.01	58.01	35.01	3.01
ENSRNOG00000003724	425.994	118.587	201.938	0	334.01	49.01	113.01	60.01	157.01	159.532	555.707	60.01	96.4344	135.01	669.127	181.01	370.278	167.397	243.531	40.01	171.612	492.889	78.01	76.01	243.01	168.01	334.704	455.534	273.01	59.01	65.01	80.01	110.779
ENSRNOG00000004604	0	0	168.01	24.01	369.01	49.01	0	38.01	127.01	175.01	163.01	80.01	39.01	0	118.01	0	237.01	1.01	76.01	2.01	185.01	187.29	237.01	23.01	0	74.01	0	0	81.01	32.01	73.01	116.01	61.01
ENSRNOG00000016585	0	61.01	0	0	47.01	29.01	0	0	0	0	0	0	1.01	0	0	0	122.01	0	0	0	0	131.01	0	0	0	0	0	232.01	35.01	0	0	0	0
ENSRNOG00000059202	0	9.01	244.01	0	74.01	47.02	20.02	0	43.01	30.01	167.02	49.01	131.02	0	205.019	137.02	62.02	99.01	124.02	64.01	97.02	260.02	2.01	39.0255	0	409.487	73.01	75.01	109.02	32.02	0	30.02	34.02
ENSRNOG00000002054	212.02	0	0	38.02	0	23.01	0	147.02	53.01	0	192.02	35.01	0	0	1.01	0	131.02	0	0	63.01	0	220.02	112.02	53.01	78.01	123.02	0	0	215.02	86.02	45.01	0	0
ENSRNOG00000008482	823.91	121.02	797.02	101.911	410.02	134.02	68.01	53.01	188.019	160.02	206.02	53.02	181.177	254.02	319.02	760.02	412.664	263.02	131.01	61.01	335.021	230.01	151.01	124.02	503.02	310.019	202.01	1309.02	344.02	34.01	119.02	40.01	140.02
ENSRNOG00000040287	0	0	0	7.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147.197	30.01	0	0	22.03	0	0	0	0	0	0	0	0	0
ENSRNOG00000055568	0	0	0	1.07855	1.06895	1.12519	0	0	2.12336	1.09465	1.08243	0	0	0	0	0	2.16512	0	0	0	0	1.08098	0	0	1.07022	1.06508	0	0	0	0	0	0	1.09269
ENSRNOG00000016952	620.564	241.628	577.519	94.5732	634.042	155.899	80.01	444.023	349.665	261.01	295.396	100.01	431.743	242.67	363.806	259.241	429.603	488.528	391.089	118.138	280.711	904.136	416.599	86.01	600.916	393.049	311.71	125.652	234.761	85.8131	127.826	126.01	152.01
ENSRNOG00000006779	249.01	0	2.012	24.01	130.01	2.01	0	259.01	54.01	6.01	0	4.01	230.01	137.01	307.02	0	257.01	425.02	8.01	59.01	28.0662	302.01	0	44.01	5.01	0	217.01	0	6.01	83.01	21.01	273.01	3.01
ENSRNOG00000022707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000038761	0	79.01	331.01	31.01	170.01	40.01	59.01	163.01	51.01	0	539.01	51.01	42.01	62.01	0	0	80.01	0	79.01	30.01	43.01	402.01	218.01	25.01	231.01	178.01	167.496	0	387.01	19.01	22.01	59.01	69.01
ENSRNOG00000008628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.02	0	0	0	0	0	31.02
ENSRNOG00000017511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04046	2.0958	1.02377	0	0	0	2.17468	0	0	0	0	0
ENSRNOG00000016292	0	0	0	0	1.05639	0	0	0	1.08776	0	0	0	0	0	0	105.272	1.0406	0	1.01582	0	0	0	4.20534	2.01	1.01809	0	2.11896	0	0	0	0	2.24901	0
ENSRNOG00000011799	0	0	0	0	0	11.02	0	0	0	0	0	0	0	0	0	0	157.01	0	0	0	0	0	0	2.01	0	0	0	0	0	0	0	0	0
ENSRNOG00000004773	201.01	9.01	0	65.01	175.233	0	38.01	488.01	1.01	3.01	118.01	56.01	45.01	0	0	114.01	0	104.01	277.041	0	72.01	206.01	111.588	44.01	156.01	124.01	0	456.01	57.01	45.01	66.01	31.1204	0
ENSRNOG00000021160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000021793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.01	0	0	0	0	0	0	0	0	0
ENSRNOG00000029922	0	27.01	0	0	1.01	5.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000027290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.01	0	0
ENSRNOG00000032797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001387	224.676	0	0	0	0	6.01	0	0	0	0	0	0	0	0	0	0	0	55.0936	0	0	0	0	0	0	66.01	0	0	0	0	0	0	0	0
ENSRNOG00000050493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000037478	0	0	1.01	0	0	0	41.01	1.01	0	115.01	293.259	21.01	0	0	145.01	124.01	0	0	0	54.01	119.01	267.01	90.1571	42.01	40.01	0	78.01	0	0	0	0	0	75.01
ENSRNOG00000020032	2.05003	157.01	54.01	18.01	0	0	0	94.01	23.01	0	0	0	26.0763	0	0	0	0	207.01	72.01	0	118.01	0	134.01	0	59.01	0	38.01	0	180.01	0	34.01	0	28.01
ENSRNOG00000050172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001061	0	76.01	213.01	24.01	118.01	1.01	29.01	0	0	0	0	0	0	0	0	0	152.01	127.01	0	0	0	392.01	0	0	0	0	92.1999	120.01	71.01	0	63.01	36.01	9.01
ENSRNOG00000046915	0	2.02459	29.063	0	0	0	8.0637	0	5.03158	4.04354	0	0	0	0	8.10247	0	1.36809	0	1.73662	0	3.01	0	0	0	2.14044	0	0	6.27381	0	0	1.01659	0	3.01
ENSRNOG00000059016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000002640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236.01	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000008622	0	0	0	0	1.01	0	0	0	0	0	0	0	22.01	0	0	0	0	0	1.40653	0	0	0	0	0	1.20014	0	0	434.871	0	0	2.14867	0	0
ENSRNOG00000038101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.1875	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001317	0	0	323.01	0	0	44.01	0	0	32.01	0	172.01	0	0	0	274.01	0	0	69.01	155.01	43.01	72.01	0	0	0	0	404.02	65.01	117.01	31.01	28.01	0	1.01	18.01
ENSRNOG00000004488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.01	0	0	104.01	0	2.01	0	0	0	0
ENSRNOG00000046643	0	0	0	1.01	0	0	0	0	0	0	0	20.01	0	0	0	0	0	0	0	0	0	0	0	24.01	104.01	0	77.01	0	9.01	0	80.01	0	44.01
ENSRNOG00000007100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000023116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000019044	4.56017	0	0	1.03991	0	0	0	2.23714	11.924	18.2185	13.9748	0	0	1.09731	11.1642	0	0	6.11911	6.44696	1.09919	0	0	0	0	0	6.19027	0	9.02171	0	0	1.03403	0	0
ENSRNOG00000061533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0
ENSRNOG00000021497	0	0	0	19.01	73.01	0	0	0	34.01	15.01	1.01	0	0	0	0	0	0	248.02	18.01	0	0	0	0	0	75.01	0	0	0	73.01	0	0	24.01	0
ENSRNOG00000028767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000042682	1.01011	0	235.927	0	84.0311	17.01	0	0	0	0	1.01011	0	0	0	0	0	0	0	0	0	0	418.642	0	1.01	101.015	0	0	0	2.01013	25.01	0	31.0141	19.01
ENSRNOG00000047053	0	0	0	0	0	0	14.01	69.01	0	0	99.01	13.01	0	0	0	0	0	0	144.281	0	0	113.01	0	0	152.324	65.1859	103.01	0	0	0	0	0	0
ENSRNOG00000005841	137.01	138.01	194.01	88.01	649.01	0	79.01	237.01	204.162	97.01	448.01	41.01	104.01	85.01	0	371.01	442.391	607.424	202.01	58.01	164.01	723.458	293.01	87.01	226.01	394.009	481.01	0	308.01	110.481	0	88.01	38.01
ENSRNOG00000006984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000011060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.969	0	0	15.01	0	0	0	0	0	0	0	0	0
ENSRNOG00000015288	273.01	10.01	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	103.026	0	0	0	0	0
ENSRNOG00000050650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.4429	0	0	0	0	0	40.8231	0	0	0	7.19805	0	0	0
ENSRNOG00000023172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.3353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000030862	296.01	2.01	501.01	63.8906	2.01	30.01	22.01	0	0	0	0	24.01	239.01	154.01	365.01	492.02	1.01	223.342	301.01	3.01	0	1.01	98.01	44.01	32.01	216.01	1.01	1211.62	106.01	1.01	31.01	22.01	63.01
