gene	21373_3_39	21373_3_72	21373_3_77	21373_3_78	21373_3_91	21373_3_92	21373_3_96	21373_3_104	21373_3_109	21373_3_110	21373_3_117	21373_3_128	21373_3_133	21373_3_142	21373_3_155	21373_3_156	21373_3_179	21373_3_205	21373_3_229	21373_3_230	21373_3_242	21373_3_259	21373_3_260	21373_3_266	21373_3_291	21373_3_292	21373_3_298	21373_3_305	21373_3_315	21373_3_316	21373_3_322	21373_3_330	21373_3_372
ENSRNOG00000052207	1.77557	7.40469	5.89857	0	2.19269	0	0	8.21362	0	1.67314	3.41603	0	1.5859	8.15605	0	3.65839	4.12551	5.95056	15.5075	0	1.26273	8.38828	0	0	4.35485	0	5.03133	6.57132	3.20303	0	1.66079	0	1.80076
ENSRNOG00000015696	0	0	0	6.01	0	0	0	113.01	37.01	0	0	1.01	75.0951	0	0	0	0	71.01	0	0	42.01	0	83.01	0	0	0	0	0	56.01	0	0	0	0
ENSRNOG00000008115	38.01	0	0	0	0	0	124.01	295.01	0	1.01	0	62.01	0	0	0	0	0	0	0	0	0	0	0	10.01	6.01	1.01	0	0	0	0	0	0	0
ENSRNOG00000024497	216.844	61.01	108.01	16.01	0	0	21.01	138.268	60.01	0	93.01	10.01	42.01	25.01	184.01	0	45.01	61.01	150.01	11.0769	42.01	2.01	53.1527	5.01	101.01	152.543	104.01	264.01	0	0	40.01	62.01	49.01
ENSRNOG00000007758	4.94537	1.01	1.01098	0	1.01102	1.01	2.86634	0	9.35063	0	0	0	0	1.01	0	0	1.01393	0	5.01277	0	2.01	0	0	1.01	5.01	2.01119	1.01932	5.2702	0	0	0	4.01	0
ENSRNOG00000049801	0	0	0	0	0	0	0	0	0	0	10.7844	0	0	0	0	0	0	1.01	0	0	0	0	0	6.01	0	1.17418	7.91725	0	0	1.01	0	0	0
ENSRNOG00000030048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	0	73.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000011404	0	0	1.01	0	141.747	0	0	0	23.01	0	158.194	0	79.01	115.818	40.01	26.3247	157.01	198.01	99.9821	0	16.3981	0	0	0	375.229	81.01	61.01	247.322	89.01	1.01	116.744	1.01	0
ENSRNOG00000052513	37.01	87.01	2.01	0	0	21.01	23.01	30.0296	0	107.01	75.01	14.01	0	46.01	116.01	0	325.45	30.01	116.064	0	0	0	165.01	32.01	271.092	504.255	27.01	1113.48	0	0	0	55.01	4.01
ENSRNOG00000049515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000013538	503.026	520.556	502.168	42.7075	826.056	139.01	140.196	292.764	61.0054	104.01	639.122	173.01	315.491	129.622	457.481	293.929	377.944	568.22	696.545	162.259	705.645	738.907	399.01	115.01	1278.95	345.88	721.932	358.9	363	1.01	481.004	130.01	431.965
ENSRNOG00000011484	0	0	1.01842	1.01978	0	0	0	0	0	0	0	0	0	0	1.95295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
