"name"	"raw file 1"	"raw file 2"	"raw file 3"	"species"	"individual"	"condition"	"run"
"pig1_LPS6"	"25258_4_S1_L001_I1_001.fastq.gz"	"25258_4_S1_L001_R1_001.fastq.gz"	"25258_4_S1_L001_R2_001.fastq.gz"	"pig"	1	"LPS6"	"25258_4"
"pig2_unst"	"25258_5_S1_L001_I1_001.fastq.gz"	"25258_5_S1_L001_R1_001.fastq.gz"	"25258_5_S1_L001_R2_001.fastq.gz"	"pig"	2	"unst"	"25258_5"
"pig2_LPS2"	"25258_6_S1_L001_I1_001.fastq.gz"	"25258_6_S1_L001_R1_001.fastq.gz"	"25258_6_S1_L001_R2_001.fastq.gz"	"pig"	2	"LPS2"	"25258_6"
"pig2_LPS4"	"25258_7_S1_L001_I1_001.fastq.gz"	"25258_7_S1_L001_R1_001.fastq.gz"	"25258_7_S1_L001_R2_001.fastq.gz"	"pig"	2	"LPS4"	"25258_7"
"pig2_LPS6"	"25258_8_S1_L001_I1_001.fastq.gz"	"25258_8_S1_L001_R1_001.fastq.gz"	"25258_8_S1_L001_R2_001.fastq.gz"	"pig"	2	"LPS6"	"25258_8"
"pig3_unst"	"25300_5_S1_L001_I1_001.fastq.gz"	"25300_5_S1_L001_R1_001.fastq.gz"	"25300_5_S1_L001_R2_001.fastq.gz"	"pig"	3	"unst"	"25300_5"
"pig3_LPS2"	"25300_6_S1_L001_I1_001.fastq.gz"	"25300_6_S1_L001_R1_001.fastq.gz"	"25300_6_S1_L001_R2_001.fastq.gz"	"pig"	3	"LPS2"	"25300_6"
"pig3_LPS4"	"25300_7_S1_L001_I1_001.fastq.gz"	"25300_7_S1_L001_R1_001.fastq.gz"	"25300_7_S1_L001_R2_001.fastq.gz"	"pig"	3	"LPS4"	"25300_7"
"pig3_LPS6"	"25300_8_S1_L001_I1_001.fastq.gz"	"25300_8_S1_L001_R1_001.fastq.gz"	"25300_8_S1_L001_R2_001.fastq.gz"	"pig"	3	"LPS6"	"25300_8"
"pig4_unst"	"25336_7_S1_L001_I1_001.fastq.gz"	"25336_7_S1_L001_R1_001.fastq.gz"	"25336_7_S1_L001_R2_001.fastq.gz"	"pig"	4	"unst"	"25336_7"
"pig4_LPS2"	"25336_8_S1_L001_I1_001.fastq.gz"	"25336_8_S1_L001_R1_001.fastq.gz"	"25336_8_S1_L001_R2_001.fastq.gz"	"pig"	4	"LPS2"	"25336_8"
