index	gene	class	divergence
828	ENSMUSG00000066306	b_DE	-0.044974974503917
829	ENSMUSG00000045795	a_all	0.752099343031131
830	ENSMUSG00000045795	b_DE	0.752099343031131
831	ENSMUSG00000056515	a_all	-0.298725447206797
832	ENSMUSG00000056515	b_DE	-0.298725447206797
833	ENSMUSG00000024539	a_all	-1.10751004880842
834	ENSMUSG00000024539	b_DE	-1.10751004880842
835	ENSMUSG00000027956	a_all	1.34394965132678
836	ENSMUSG00000027956	b_DE	1.34394965132678
837	ENSMUSG00000034640	a_all	0.157193008384021
838	ENSMUSG00000034640	b_DE	0.157193008384021
839	ENSMUSG00000027366	a_all	-1.83896345137885
840	ENSMUSG00000027366	b_DE	-1.83896345137885
841	ENSMUSG00000026832	a_all	1.86962530429939
842	ENSMUSG00000026832	b_DE	1.86962530429939
843	ENSMUSG00000005802	a_all	-0.047439828325557
844	ENSMUSG00000005802	b_DE	-0.047439828325557
845	ENSMUSG00000038235	a_all	0.79717887356386
846	ENSMUSG00000038235	b_DE	0.79717887356386
847	ENSMUSG00000028126	a_all	-2.20496399200517
848	ENSMUSG00000028126	b_DE	-2.20496399200517
849	ENSMUSG00000008734	a_all	3.20884553475645
850	ENSMUSG00000008734	b_DE	3.20884553475645
851	ENSMUSG00000053101	a_all	1.86625064167569
852	ENSMUSG00000053101	b_DE	1.86625064167569
853	ENSMUSG00000031824	a_all	1.2732086576493
854	ENSMUSG00000031824	b_DE	1.2732086576493
855	ENSMUSG00000005763	a_all	2.71128384341488
856	ENSMUSG00000005763	b_DE	2.71128384341488
857	ENSMUSG00000033499	a_all	-0.640550855282454
858	ENSMUSG00000033499	b_DE	-0.640550855282454
859	ENSMUSG00000026466	a_all	0.200591333837274
860	ENSMUSG00000026466	b_DE	0.200591333837274
861	ENSMUSG00000034574	a_all	0.148703827740499
862	ENSMUSG00000034574	b_DE	0.148703827740499
863	ENSMUSG00000034858	a_all	2.06877933500579
864	ENSMUSG00000034858	b_DE	2.06877933500579
865	ENSMUSG00000020300	a_all	0.006401746199312
866	ENSMUSG00000020300	b_DE	0.006401746199312
867	ENSMUSG00000002477	a_all	-1.66545768219679
868	ENSMUSG00000002477	b_DE	-1.66545768219679
869	ENSMUSG00000024805	a_all	-0.157189813839748
870	ENSMUSG00000024805	b_DE	-0.157189813839748
871	ENSMUSG00000049225	a_all	0.724427360338632
872	ENSMUSG00000049225	b_DE	0.724427360338632
873	ENSMUSG00000049624	a_all	-2.63795659615956
874	ENSMUSG00000049624	b_DE	-2.63795659615956
875	ENSMUSG00000032024	a_all	0.609033277261169
876	ENSMUSG00000032024	b_DE	0.609033277261169
877	ENSMUSG00000046179	a_all	1.67170273988468
878	ENSMUSG00000046179	b_DE	1.67170273988468
879	ENSMUSG00000041324	a_all	1.51320005470573
880	ENSMUSG00000041324	b_DE	1.51320005470573
881	ENSMUSG00000038058	a_all	1.51315014409007
882	ENSMUSG00000038058	b_DE	1.51315014409007
883	ENSMUSG00000042284	a_all	0.221189725280627
884	ENSMUSG00000042284	b_DE	0.221189725280627
885	ENSMUSG00000030199	a_all	-0.090114267929603
886	ENSMUSG00000030199	b_DE	-0.090114267929603
887	ENSMUSG00000002885	a_all	1.33697540684103
888	ENSMUSG00000002885	b_DE	1.33697540684103
889	ENSMUSG00000050592	a_all	-0.568378698522741
890	ENSMUSG00000050592	b_DE	-0.568378698522741
891	ENSMUSG00000022799	a_all	-0.083397377824225
892	ENSMUSG00000022799	b_DE	-0.083397377824225
893	ENSMUSG00000015839	a_all	-0.660677803744302
894	ENSMUSG00000015839	b_DE	-0.660677803744302
895	ENSMUSG00000010663	a_all	1.43943139406352
896	ENSMUSG00000010663	b_DE	1.43943139406352
897	ENSMUSG00000039478	a_all	-0.095237640812559
898	ENSMUSG00000039478	b_DE	-0.095237640812559
899	ENSMUSG00000064181	a_all	1.3386654674735
900	ENSMUSG00000064181	b_DE	1.3386654674735
901	ENSMUSG00000044827	a_all	1.22852709964455
902	ENSMUSG00000044827	b_DE	1.22852709964455
903	ENSMUSG00000017715	a_all	-0.530147701959375
904	ENSMUSG00000017715	b_DE	-0.530147701959375
905	ENSMUSG00000040964	a_all	0.94458972184293
906	ENSMUSG00000040964	b_DE	0.94458972184293
907	ENSMUSG00000029826	a_all	-0.127111278608805
908	ENSMUSG00000029826	b_DE	-0.127111278608805
909	ENSMUSG00000036452	a_all	1.14543552663599
910	ENSMUSG00000036452	b_DE	1.14543552663599
911	ENSMUSG00000037824	a_all	0.278608765457434
912	ENSMUSG00000037824	b_DE	0.278608765457434
913	ENSMUSG00000003541	a_all	1.79057179013268
914	ENSMUSG00000003541	b_DE	1.79057179013268
915	ENSMUSG00000022404	a_all	-0.652485539432248
916	ENSMUSG00000022404	b_DE	-0.652485539432248
917	ENSMUSG00000042688	a_all	-2.25003851852562
918	ENSMUSG00000042688	b_DE	-2.25003851852562
919	ENSMUSG00000022788	a_all	0.243299539631871
920	ENSMUSG00000022788	b_DE	0.243299539631871
921	ENSMUSG00000029467	a_all	-0.644733482438324
922	ENSMUSG00000029467	b_DE	-0.644733482438324
923	ENSMUSG00000047747	a_all	2.32069378459249
924	ENSMUSG00000047747	b_DE	2.32069378459249
925	ENSMUSG00000028944	a_all	0.156332092265065
926	ENSMUSG00000028944	b_DE	0.156332092265065
927	ENSMUSG00000034312	a_all	-0.547667230417505
928	ENSMUSG00000034312	b_DE	-0.547667230417505
929	ENSMUSG00000034255	a_all	0.718835543611518
930	ENSMUSG00000034255	b_DE	0.718835543611518
931	ENSMUSG00000029108	a_all	1.29327906564715
932	ENSMUSG00000029108	b_DE	1.29327906564715
933	ENSMUSG00000040152	a_all	-0.881991660008193
934	ENSMUSG00000040152	b_DE	-0.881991660008193
935	ENSMUSG00000030830	a_all	0.302972724190231
936	ENSMUSG00000030830	b_DE	0.302972724190231
937	ENSMUSG00000001416	a_all	-0.191387442032974
938	ENSMUSG00000001416	b_DE	-0.191387442032974
939	ENSMUSG00000025436	a_all	-0.095556427525475
940	ENSMUSG00000025436	b_DE	-0.095556427525475
941	ENSMUSG00000001052	a_all	0.323315576250114
942	ENSMUSG00000001052	b_DE	0.323315576250114
943	ENSMUSG00000037661	a_all	1.52141254726988
944	ENSMUSG00000037661	b_DE	1.52141254726988
945	ENSMUSG00000031701	a_all	-0.764900243916032
946	ENSMUSG00000031701	b_DE	-0.764900243916032
947	ENSMUSG00000026088	a_all	1.62374207909268
948	ENSMUSG00000026088	b_DE	1.62374207909268
949	ENSMUSG00000005813	a_all	0.547928314735156
950	ENSMUSG00000005813	b_DE	0.547928314735156
951	ENSMUSG00000044986	a_all	0.020120829072687
952	ENSMUSG00000044986	b_DE	0.020120829072687
953	ENSMUSG00000024097	a_all	-1.56373959169676
954	ENSMUSG00000024097	b_DE	-1.56373959169676
955	ENSMUSG00000029135	a_all	0.974759274608301
956	ENSMUSG00000029135	b_DE	0.974759274608301
957	ENSMUSG00000024300	a_all	-1.94990159664241
958	ENSMUSG00000024300	b_DE	-1.94990159664241
